"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2279.75904286761
"EX2-SY0.m1",2249.62665538453
"EX1-SY0.m2",2285.21436398296
"EX2-SY0.m2",2255.06748279582
"EX1-SY0.m3",2290.53480793708
"EX2-SY0.m3",2259.63662856426
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1887.0774082429
"EX2-SY1.m1",2219.10747900154
"EX1-SY1.m2",1892.33490361493
"EX2-SY1.m2",2224.5368246305
"EX1-SY1.m3",1897.59239898945
"EX2-SY1.m3",2229.52100266769
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2201.32898768588
"EX2-SY0.m1",2228.54138320365
"EX1-SY0.m2",2206.78430880125
"EX2-SY0.m2",2233.9000048112
"EX1-SY0.m3",2209.70477610737
"EX2-SY0.m3",2235.88316715118
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1786.80196653846
"EX2-SY1.m1",2123.96702506904
"EX1-SY1.m2",1792.05787625191
"EX2-SY1.m2",2128.74216285077
"EX1-SY1.m3",1797.31537141627
"EX2-SY1.m3",2133.8043450361
