"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,68.5052876491529,6.04615221686858,232.575193005722,11.3303941402642,5.51511850430611e-24
"EX2-SY0.m0.CS",0,-3.75576965029976,0.87391521284884,207.424271478243,-4.29763619522823,2.65396105102043e-05
"EX1-SY0.m1.int",2272.15410726107,68.437659984261,5.9931015022359,196.066915871052,11.4194061219768,1.74916258153377e-23
"EX1-SY0.m1.CS",0,-3.74274734557428,0.873900381994073,229.6518318856,-4.28280776927234,2.71357597194766e-05
"EX2-SY0.m1.int",2263.26338481669,81.0109404879943,8.09536939886569,49.8471890472304,10.0070715116898,1.62440900174244e-13
"EX2-SY0.m1.CS",0,-5.49266655311677,1.22270889686118,47.1121007381452,-4.49221116098608,4.55698826314926e-05
"EX1-SY0.m2.int",2277.44253935706,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2264.35328938424,27.0011903844375,5.03720061091506,186.376211752717,5.36035637054614,2.43600457846071e-07
"EX2-SY0.m2.CS",0,1.26249909894841,0.675918652290981,215.429368595612,1.86782698579075,0.0631440603801409
"EX1-SY0.m3.int",2251.24162282367,28.0147466824186,4.8202343941954,123.616150083198,5.81190547832163,4.92959186125635e-08
"EX1-SY0.m3.CS",0,1.16422708203298,0.712704519893701,153.592035233894,1.63353402361841,0.104404944014206
"EX2-SY0.m3.int",2224.30142295146,45.2013443175721,8.24231486904234,38.6568918910016,5.48405939784535,2.76308516343449e-06
"EX2-SY0.m3.CS",0,-1.18950222636632,1.232982016312,38.3136173995677,-0.964736071272367,0.340727151127827
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,98.3391283282307,6.31334708588675,191.999999998292,15.5763855511863,6.64634316204254e-36
"EX2-SY1.m0.CS",0,-8.36182921878035,0.914280732885932,191.999999998554,-9.14580053807564,8.6474297475361e-17
"EX1-SY1.m1.int",1821.86045250927,98.339128328231,6.31334708588676,191.999999998566,15.5763855511864,6.64634316180308e-36
"EX1-SY1.m1.CS",0,-8.36182921878039,0.914280732885934,191.999999999972,-9.14580053807567,8.64742974716774e-17
"EX2-SY1.m1.int",2252.85094461448,104.648879553552,8.22733422527569,41.304478824964,12.7196582377866,7.12852815999509e-16
"EX2-SY1.m1.CS",0,-9.22448207402869,1.14780283482065,41.5505956856971,-8.03664339744385,5.37067402804649e-10
"EX1-SY1.m2.int",1827.1179478813,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2258.2802902474,40.0871456336068,5.83695724735119,220.837729403221,6.86781553039443,6.53381756648005e-11
"EX2-SY1.m2.CS",0,-1.16901782786425,0.8281920147595,208.244659994161,-1.41152994357681,0.159580777654574
"EX1-SY1.m3.int",1814.77088664008,40.0871978033416,5.8369603450018,220.836932594846,6.86782082349906,6.53366571764062e-11
"EX1-SY1.m3.CS",0,-1.16902605151383,0.828191263087385,208.2450470547,-1.4115411543414,0.1595774758135
"EX2-SY1.m3.int",2228.42096814429,60.1429465935597,9.12594697889232,43.5702552669707,6.59032391188182,4.77105079946773e-08
"EX2-SY1.m3.CS",0,-3.97516751974777,1.22412433471977,45.1430422141965,-3.24735601360116,0.00220017338418749
