"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2237.65902277507
"EX2-SY0.m1",2237.10924269201
"EX1-SY0.m2",2243.11434389042
"EX2-SY0.m2",2242.56456380738
"EX1-SY0.m3",2247.8471164413
"EX2-SY0.m3",2246.77885128969
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1836.89369759614
"EX2-SY1.m1",2161.76662926649
"EX1-SY1.m2",1842.15119296817
"EX2-SY1.m2",2167.19597490718
"EX1-SY1.m3",1847.4086883402
"EX2-SY1.m3",2172.55877809296
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2201.64305273061
"EX2-SY0.m1",2233.02178099423
"EX1-SY0.m2",2207.09837384597
"EX2-SY0.m2",2238.15117959633
"EX1-SY0.m3",2209.4240042831
"EX2-SY0.m3",2239.36975088309
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1778.8438742638
"EX2-SY1.m1",2126.84391112744
"EX1-SY1.m2",1784.08312130494
"EX2-SY1.m2",2131.78109958495
"EX1-SY1.m3",1789.34061667755
"EX2-SY1.m3",2136.5993342584
