"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,31.3215858228646,4.42646313285402,233.999999994032,7.07598479481057,1.71058457074277e-11
"EX2-SY0.m0.CS",0,5.24366849999456,1.64497573035633,233.999999997089,3.18768745533936,0.00162981972324946
"EX1-SY0.m1.int",2279.75904286761,31.3215858228646,4.42646313285402,233.999999994032,7.07598479481057,1.71058457074277e-11
"EX1-SY0.m1.CS",0,5.24366849999456,1.64497573035633,233.999999997089,3.18768745533936,0.00162981972324946
"EX2-SY0.m1.int",2249.62665538453,31.8321441718405,4.56473765550664,51.24030189236,6.97348819891982,5.85815562128094e-09
"EX2-SY0.m1.CS",0,5.05362105303297,1.67040267565072,98.1355633718891,3.02539089927181,0.00317022109286589
"EX1-SY0.m2.int",2285.21436398296,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2255.06748279582,23.2691213347026,3.89436899464875,120.737553001333,5.97506845567963,2.38810838272907e-08
"EX2-SY0.m2.CS",0,5.11713827235098,1.21584432866889,210.340735273583,4.20871171719264,3.80410877865423e-05
"EX1-SY0.m3.int",2290.53480793708,23.355287286736,3.88498712155051,108.321888242489,6.011676887468,2.51879419269254e-08
"EX1-SY0.m3.CS",0,5.0915532117587,1.2258989340787,70.7846698704092,4.15332216238948,9.02381811530599e-05
"EX2-SY0.m3.int",2259.63662856426,25.2476237292347,4.30417679467545,30.9832188312678,5.86584262999318,1.80195299830411e-06
"EX2-SY0.m3.CS",0,4.40671991130847,1.33027132078009,34.7124556303295,3.31264745956058,0.00216732029791326
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,33.3963754194268,5.28957090075935,191.999999999486,6.31362657689918,1.84829040765201e-09
"EX2-SY1.m0.CS",0,4.04662641625166,1.96040398736348,191.999999999693,2.06417985391568,0.0403451972255506
"EX1-SY1.m1.int",1887.0774082429,33.3963754194268,5.28957090075935,191.999999999504,6.31362657689918,1.8482904076517e-09
"EX1-SY1.m1.CS",0,4.04662641625166,1.96040398736348,191.999999999711,2.06417985391568,0.0403451972255505
"EX2-SY1.m1.int",2219.10747900154,33.3963754200712,5.28957090115449,191.999999233885,6.31362657654938,1.84829042357186e-09
"EX2-SY1.m1.CS",0,4.0466264160128,1.96040398743518,191.999999660621,2.06417985371834,0.0403451972468441
"EX1-SY1.m2.int",1892.33490361493,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2224.5368246305,11.7402014947912,4.09824605673852,180.74346162201,2.86468926761667,0.00466868187128309
"EX2-SY1.m2.CS",0,9.0475851613399,1.45568868985645,206.750134581638,6.21532970915099,2.78061994789165e-09
"EX1-SY1.m3.int",1897.59239898945,11.7402016941414,4.09824614460108,180.743433394702,2.86468925484324,0.0046686821306324
"EX1-SY1.m3.CS",0,9.04758507516861,1.4556886702892,206.750140871823,6.21532973350071,2.7806194567793e-09
"EX2-SY1.m3.int",2229.52100266769,12.1548799891893,4.32338747311073,46.143217919513,2.81142508386918,0.0072170893051407
"EX2-SY1.m3.CS",0,8.89398856543149,1.48393651196742,115.220128124408,5.99351016280322,2.4059331905347e-08
