"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,64.0379049165403,5.60979482416544,233.746845147445,11.4153738102297,2.8032440810792e-24
"EX2-SY0.m0.CS",0,-4.32601833612767,1.13116002845834,207.811963286532,-3.82440877266817,0.000173291347855118
"EX1-SY0.m1.int",2275.62185642726,64.031019697935,5.5668076230993,196.213702738118,11.5022871335162,9.77919793488052e-24
"EX1-SY0.m1.CS",0,-4.32023933441909,1.13084888861262,232.152905399107,-3.82035069223032,0.00017111322055546
"EX2-SY0.m1.int",2263.24769471435,74.7685801940806,7.30716653317717,51.6707409523294,10.2322261104361,5.03518318255594e-14
"EX2-SY0.m1.CS",0,-6.39751735066468,1.53479251099917,48.8311664713064,-4.16832718743187,0.000124924952476804
"EX1-SY0.m2.int",2280.94595361936,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2263.62872847325,27.7048335295705,4.72531422446506,169.984441376277,5.8630669228578,2.30790020855e-08
"EX2-SY0.m2.CS",0,1.62207883134673,0.866780557524153,215.113779156156,1.87138349754866,0.0626494171595832
"EX1-SY0.m3.int",2260.66864908202,29.213050483607,4.54320627736218,107.399382958129,6.43005153192568,3.61706200312363e-09
"EX1-SY0.m3.CS",0,1.39795872663019,0.931686614868891,125.467105527985,1.50046024523698,0.136007504977856
"EX2-SY0.m3.int",2228.23342759436,43.7423766486254,7.52197988728065,38.4625784923245,5.81527434320742,9.79646313910753e-07
"EX2-SY0.m3.CS",0,-1.37472608031265,1.56260115963529,38.0097915945869,-0.879767733330947,0.384513698914408
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,89.3021795852016,5.9718927914498,191.99999999542,14.9537479495712,4.95474793013002e-34
"EX2-SY1.m0.CS",0,-9.82414941810191,1.2039329901898,191.999999994037,-8.1600466954171,4.31399230691403e-14
"EX1-SY1.m1.int",1834.12666051858,89.3021795852016,5.9718927914498,191.99999999542,14.9537479495712,4.95474793013002e-34
"EX1-SY1.m1.CS",0,-9.82414941810191,1.2039329901898,191.999999994037,-8.1600466954171,4.31399230691403e-14
"EX2-SY1.m1.int",2254.25016079636,94.2433810670495,7.42171635437021,44.30061875088,12.6983269862577,2.30775302818828e-16
"EX2-SY1.m1.CS",0,-10.7683393510351,1.43919238240555,46.2834608325162,-7.48220980230335,1.66974560649014e-09
"EX1-SY1.m2.int",1839.38415589061,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2259.67950642531,36.2001460369346,5.43244641950151,215.103635009923,6.66369131722727,2.20493367576861e-10
"EX2-SY1.m2.CS",0,-0.784337758230709,1.07006270712129,208.460389417463,-0.732982985960474,0.46439223044741
"EX1-SY1.m3.int",1833.22007005867,36.2001461118814,5.43244642576518,215.103633296035,6.6636913233401,2.2049336324987e-10
"EX1-SY1.m3.CS",0,-0.784337774887564,1.07006270557859,208.460390063855,-0.732983002583446,0.464392220327815
"EX2-SY1.m3.int",2240.88557887133,50.9908383998168,8.10944694547566,42.9788347750499,6.28783180192888,1.39650598147717e-07
"EX2-SY1.m3.CS",0,-3.67235679790347,1.48452641724184,45.400449248671,-2.47375644869054,0.0171738102706604
