"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2285.0628428106
"EX2-SY0.m1",2261.27271195419
"EX1-SY0.m2",2290.51816392596
"EX2-SY0.m2",2263.31831841161
"EX1-SY0.m3",2283.54232559109
"EX2-SY0.m3",2246.60164405866
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1865.56499831636
"EX2-SY1.m1",2253.43688636482
"EX1-SY1.m2",1870.82249368838
"EX2-SY1.m2",2258.86623199378
"EX1-SY1.m3",1872.56665011698
"EX2-SY1.m3",2253.6936710603
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2189.06841803859
"EX2-SY0.m1",2210.44091329173
"EX1-SY0.m2",2194.52373915396
"EX2-SY0.m2",2215.76471263054
"EX1-SY0.m3",2199.18169132705
"EX2-SY0.m3",2221.18827007617
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1794.6463628286
"EX2-SY1.m1",2128.6556475088
"EX1-SY1.m2",1799.90385820063
"EX2-SY1.m2",2132.01602468486
"EX1-SY1.m3",1805.16058972445
"EX2-SY1.m3",2136.08426606184
