"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2272.15410726107
"EX2-SY0.m1",2263.26338481669
"EX1-SY0.m2",2277.44253935706
"EX2-SY0.m2",2264.35328938424
"EX1-SY0.m3",2251.24162282367
"EX2-SY0.m3",2224.30142295146
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1821.86045250927
"EX2-SY1.m1",2252.85094461448
"EX1-SY1.m2",1827.1179478813
"EX2-SY1.m2",2258.2802902474
"EX1-SY1.m3",1814.77088664008
"EX2-SY1.m3",2228.42096814429
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2222.7028565015
"EX2-SY0.m1",2208.51135073073
"EX1-SY0.m2",2228.15817761789
"EX2-SY0.m2",2212.06209247374
"EX1-SY0.m3",2233.44249639884
"EX2-SY0.m3",2217.33926054842
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1851.24254303782
"EX2-SY1.m1",2185.93465669733
"EX1-SY1.m2",1856.50003840985
"EX2-SY1.m2",2191.29416309055
"EX1-SY1.m3",1861.66205589541
"EX2-SY1.m3",2196.01513201757
