"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.UCS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,24.4609365507085,2.66016935420877,130.077475080006,9.19525537425194,7.87358406502481e-16
"EX2-SY0.m0.UCS",0,10.790014024967,1.0450741707257,197.777931144045,10.3246394631248,2.89691954075727e-20
"EX1-SY0.m1.int",2203.8042352808,24.4609365469602,2.66016934042093,130.077478440243,9.19525542050254,7.87358055946339e-16
"EX1-SY0.m1.UCS",0,10.7900140270414,1.04507417331915,197.777929072758,10.3246394394882,2.89692025231346e-20
"EX2-SY0.m1.int",2232.12385497208,24.6714564528301,3.09791787220992,38.7647265404495,7.96388331470861,1.10389207158487e-09
"EX2-SY0.m1.UCS",0,10.7035360979415,1.12220695949115,60.2650825168832,9.53793416393969,1.1890995745633e-13
"EX1-SY0.m2.int",2209.25955639615,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.UCS",0,0,0,0,0,0
"EX2-SY0.m2.int",2237.42314520614,24.6162648652492,3.23840361042985,69.4382241730994,7.60135789929588,1.03380941134164e-10
"EX2-SY0.m2.UCS",0,5.9751814463572,0.977434838100895,200.433827194144,6.11312510403933,5.01743722816879e-09
"EX1-SY0.m3.int",2211.46977322061,24.6995156161163,3.22857779441336,65.8187098628372,7.6502773632575,1.13659502123373e-10
"EX1-SY0.m3.UCS",0,5.95095464578804,1.00540941367284,63.290750826692,5.9189366688429,1.43843454293914e-07
"EX2-SY0.m3.int",2238.77017886615,25.563228162616,3.72906435847045,37.1706907049508,6.85513193263879,4.3222244276135e-08
"EX2-SY0.m3.UCS",0,5.61868474106948,1.14659516136693,38.1183543882412,4.90032134303715,1.79975806726087e-05
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.UCS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,18.8464812662867,2.67208782419278,191.999999999114,7.05309200380797,3.0844626359455e-11
"EX2-SY1.m0.UCS",0,13.2913288239837,1.11101550033991,191.999999999135,11.9632253734689,5.24034874896227e-25
"EX1-SY1.m1.int",1784.34965193325,18.8393202588422,2.65767268931111,161.288273647609,7.08865329226282,4.00717613583691e-11
"EX1-SY1.m1.UCS",0,13.2951381923187,1.12018959552508,127.134882171612,11.8686499548201,2.50075146266346e-22
"EX2-SY1.m1.int",2126.92082032829,18.8393228454321,2.65767792265519,161.277149225177,7.08864030695279,4.00824571419337e-11
"EX2-SY1.m1.UCS",0,13.2951368156288,1.12018598492887,118.429958469752,11.8686869810044,6.93348749997768e-22
"EX1-SY1.m2.int",1789.5504113371,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.UCS",0,0,0,0,0,0
"EX2-SY1.m2.int",2131.80725384456,11.3156023396997,2.84137294928386,77.0838755832991,3.9824417778566,0.000153351234481371
"EX2-SY1.m2.UCS",0,12.4284110850528,0.930041055398716,195.128826572181,13.3632929567014,2.40232164226222e-29
"EX1-SY1.m3.int",1794.80790671693,11.2772737884167,2.74996611810997,57.5952748014363,4.10087735777903,0.000130806312362738
"EX1-SY1.m3.UCS",0,12.4627734419621,0.984815998876819,55.1626294806157,12.6549258502867,6.00805225660039e-18
"EX2-SY1.m3.int",2136.6397471938,11.1753990490285,2.61413222599237,44.5187311086146,4.27499379637773,9.94914760949187e-05
"EX2-SY1.m3.UCS",0,12.4951820205298,0.946237908256196,122.782712621829,13.2051167169543,2.53952490248032e-25
