"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2277.87306928708
"EX2-SY0.m1",2260.15024016121
"EX1-SY0.m2",2283.28290444028
"EX2-SY0.m2",2262.80715715488
"EX1-SY0.m3",2254.60763485984
"EX2-SY0.m3",2226.06591779055
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1830.05636648087
"EX2-SY1.m1",2254.11584702277
"EX1-SY1.m2",1835.3138618529
"EX2-SY1.m2",2259.54519268884
"EX1-SY1.m3",1819.16283008525
"EX2-SY1.m3",2222.81877316636
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2242.46968887426
"EX2-SY0.m1",2212.90112792522
"EX1-SY0.m2",2247.92500998962
"EX2-SY0.m2",2216.08551965685
"EX1-SY0.m3",2253.37938416224
"EX2-SY0.m3",2221.54084077246
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1871.88669611542
"EX2-SY1.m1",2204.33425358962
"EX1-SY1.m2",1877.14419148745
"EX2-SY1.m2",2209.76359963475
"EX1-SY1.m3",1882.4016892385
"EX2-SY1.m3",2214.97504127703
