"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2289.51442716432
"EX2-SY0.m1",2256.24467198217
"EX1-SY0.m2",2294.96974827968
"EX2-SY0.m2",2260.5433177003
"EX1-SY0.m3",2297.85081796616
"EX2-SY0.m3",2260.47047790232
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1889.03612725892
"EX2-SY1.m1",2241.72403336279
"EX1-SY1.m2",1894.29362263095
"EX2-SY1.m2",2247.1533789952
"EX1-SY1.m3",1899.55072269494
"EX2-SY1.m3",2250.202654403
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2196.26968346886
"EX2-SY0.m1",2220.41223916249
"EX1-SY0.m2",2201.72500458423
"EX2-SY0.m2",2225.82758127752
"EX1-SY0.m3",2205.47233246456
"EX2-SY0.m3",2229.58541858508
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1787.81130565182
"EX2-SY1.m1",2121.84449899021
"EX1-SY1.m2",1793.06880102385
"EX2-SY1.m2",2125.95852672572
"EX1-SY1.m3",1798.32629652223
"EX2-SY1.m3",2131.34847469029
