"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,25.4935101041153,3.77200991240939,234.000000000404,6.75860103661055,1.0976972142793e-10
"EX2-SY0.m0.CS",0,8.76163902358751,1.54970516233927,234.000000000342,5.65374578114064,4.55195822358185e-08
"EX1-SY0.m1.int",2259.74388982095,25.4935101041153,3.77200991240939,234.000000000404,6.75860103661055,1.0976972142793e-10
"EX1-SY0.m1.CS",0,8.76163902358751,1.54970516233927,234.000000000342,5.65374578114064,4.55195822358185e-08
"EX2-SY0.m1.int",2242.63446295039,25.7014704041056,3.88492874649358,57.9392671616933,6.6156864337095,1.2973804589499e-08
"EX2-SY0.m1.CS",0,8.67302695224961,1.55678675170081,149.658903131263,5.57110788794563,1.1450276983966e-07
"EX1-SY0.m2.int",2265.19921093631,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2248.08978407474,22.8385982351036,3.64243037235953,102.289312817529,6.27015368870564,8.71003043161142e-09
"EX2-SY0.m2.CS",0,6.07996144314594,1.20771368012492,206.770777888383,5.0342738872653,1.04151845304957e-06
"EX1-SY0.m3.int",2270.47768093401,22.8385960908395,3.64242806350305,102.289753087368,6.27015707452979,8.70979729690391e-09
"EX1-SY0.m3.CS",0,6.07996253428376,1.20771392563604,206.770710974153,5.0342737673425,1.04151927592483e-06
"EX2-SY0.m3.int",2252.70105995563,23.6956557546417,3.98870166005828,32.903342684228,5.94069393354818,1.16126538214265e-06
"EX2-SY0.m3.CS",0,5.72002687251672,1.24673063103344,95.1961271206152,4.58802144596006,1.36361271248538e-05
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,22.9680223757127,4.39735865956339,191.999999994659,5.2231405609278,4.55547797399886e-07
"EX2-SY1.m0.CS",0,9.5187626090157,1.80377420341574,191.999999996702,5.2771364569858,3.52568144519226e-07
"EX1-SY1.m1.int",1865.28683191825,22.9680223757127,4.39735865956339,191.999999994659,5.2231405609278,4.55547797399887e-07
"EX1-SY1.m1.CS",0,9.5187626090157,1.80377420341574,191.999999996702,5.2771364569858,3.52568144519226e-07
"EX2-SY1.m1.int",2187.80645750468,22.9680223757261,4.3973586595888,191.999999947283,5.22314056090068,4.5554779755636e-07
"EX2-SY1.m1.CS",0,9.51876260901028,1.80377420342326,191.999999965579,5.27713645696077,3.52568144612945e-07
"EX1-SY1.m2.int",1870.54432729028,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2193.23580313364,8.68107570080032,3.55919793840926,147.574182624005,2.43905392479526,0.0159122651345044
"EX2-SY1.m2.CS",0,11.9290253970689,1.34674077177124,202.807519658309,8.85769974972971,4.14023346279887e-16
"EX1-SY1.m3.int",1875.8018226625,8.68107550370878,3.55919774742434,147.574242799475,2.43905400029851,0.0159122614515211
"EX1-SY1.m3.CS",0,11.9290254950728,1.34674080627227,202.807509625875,8.85769959558283,4.14023861637156e-16
"EX2-SY1.m3.int",2198.64874370586,8.71994011313436,3.5953372252007,50.5218763124612,2.42534693324841,0.0189076686642663
"EX2-SY1.m3.CS",0,11.9134332075239,1.34927752457867,179.681999273012,8.82949059071005,9.27088969431587e-16
