"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.CS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,23.8119952524553,3.22666083187249,189.039289299557,7.37976393962571,4.88153898342989e-12
"EX2-SY0.m0.CS",0,10.6292561537527,1.38516128582934,200.984092662348,7.67365956765726,7.09513299279167e-13
"EX1-SY0.m1.int",2237.65902277507,23.8119953163919,3.22666093509559,189.039287655552,7.37976372335708,4.88154526126816e-12
"EX1-SY0.m1.CS",0,10.6292561200178,1.38516124900254,200.984145687841,7.67365974731968,7.09511938357068e-13
"EX2-SY0.m1.int",2237.10924269201,24.0416346238186,3.44082908007469,46.1294750443359,6.98716328661601,9.39112456662734e-09
"EX2-SY0.m1.CS",0,10.525601235563,1.40746918318643,116.971699242257,7.47838841610273,1.51058027546833e-11
"EX1-SY0.m2.int",2243.11434389042,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.CS",0,0,0,0,0,0
"EX2-SY0.m2.int",2242.56456380738,23.3293846608075,3.43723501084262,85.5726174066395,6.78725329726245,1.41415089939068e-09
"EX2-SY0.m2.CS",0,6.50049068374231,1.15689988953733,204.444589952991,5.61888780743335,6.23696403625662e-08
"EX1-SY0.m3.int",2247.8471164413,23.3293841952709,3.43723426781151,85.5727274726863,6.78725462903195,1.41413582202903e-09
"EX1-SY0.m3.CS",0,6.50049094768363,1.15689996173696,204.444573453579,5.618887684916,6.23696840506409e-08
"EX2-SY0.m3.int",2246.77885128969,24.1137747226247,3.80630268470876,33.896083840261,6.33522258213938,3.21386082821091e-07
"EX2-SY0.m3.CS",0,6.15018948980447,1.20517573313315,38.0863837884814,5.10314746698021,9.56335019889414e-06
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.CS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,19.2374943693749,3.61853402632703,191.999999996137,5.31637791144438,2.92328110604742e-07
"EX2-SY1.m0.CS",0,12.5102867741993,1.57757055781608,191.999999993693,7.93009650960904,1.75656683051622e-13
"EX1-SY1.m1.int",1836.89369759614,19.2374943693749,3.61853402632703,191.999999996137,5.31637791144438,2.92328110604742e-07
"EX1-SY1.m1.CS",0,12.5102867741993,1.57757055781608,191.999999993693,7.93009650960904,1.75656683051622e-13
"EX2-SY1.m1.int",2161.76662926649,19.2374943693749,3.61853402632703,191.999999996137,5.31637791144438,2.92328110604741e-07
"EX2-SY1.m1.CS",0,12.5102867741993,1.57757055781608,191.999999993693,7.93009650960904,1.75656683051624e-13
"EX1-SY1.m2.int",1842.15119296817,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.CS",0,0,0,0,0,0
"EX2-SY1.m2.int",2167.19597490718,8.97659393223298,3.19827836223686,112.644460575048,2.80669563919846,0.00589944620831106
"EX2-SY1.m2.CS",0,13.1396128770303,1.21296998749441,198.970377939453,10.8325952105149,8.59370934174149e-22
"EX1-SY1.m3.int",1847.4086883402,8.9766003028573,3.19829477754226,112.640429881712,2.80668322566421,0.00589969166187152
"EX1-SY1.m3.CS",0,13.1396093442407,1.21296763768358,198.971035609914,10.8326132833466,8.59237542056699e-22
"EX2-SY1.m3.int",2172.55877809296,8.91996481725224,3.13367352174848,48.8900354865077,2.84648823667987,0.00644374775045811
"EX2-SY1.m3.CS",0,13.16590564874,1.21193800952861,198.530190764958,10.8635140949668,7.09597420011336e-22
