"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2220.15820217117
"EX2-SY0.m1",2233.19098240185
"EX1-SY0.m2",2225.61352328653
"EX2-SY0.m2",2238.64630351774
"EX1-SY0.m3",2229.41115197023
"EX2-SY0.m3",2241.99853944623
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1810.58758627234
"EX2-SY1.m1",2143.36476640635
"EX1-SY1.m2",1815.84508164437
"EX2-SY1.m2",2148.77393913496
"EX1-SY1.m3",1821.10257701656
"EX2-SY1.m3",2153.89780475424
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2200.62092629986
"EX2-SY0.m1",2233.32636143725
"EX1-SY0.m2",2206.07624741918
"EX2-SY0.m2",2238.41283772741
"EX1-SY0.m3",2208.14513828566
"EX2-SY0.m3",2239.36144135202
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1777.25233043103
"EX2-SY1.m1",2125.47200254989
"EX1-SY1.m2",1782.33153351138
"EX2-SY1.m2",2130.51913154294
"EX1-SY1.m3",1787.58902884737
"EX2-SY1.m3",2135.22440735849
