"Model","BIC_value"
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2259.74388982095
"EX2-SY0.m1",2242.63446295039
"EX1-SY0.m2",2265.19921093631
"EX2-SY0.m2",2248.08978407474
"EX1-SY0.m3",2270.47768093401
"EX2-SY0.m3",2252.70105995563
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1865.28683191825
"EX2-SY1.m1",2187.80645750468
"EX1-SY1.m2",1870.54432729028
"EX2-SY1.m2",2193.23580313364
"EX1-SY1.m3",1875.8018226625
"EX2-SY1.m3",2198.64874370586
"EX1-SY0.m0",2284.25063289146
"EX2-SY0.m0",2261.24039151528
"EX1-SY0.m1",2203.8042352808
"EX2-SY0.m1",2232.12385497208
"EX1-SY0.m2",2209.25955639615
"EX2-SY0.m2",2237.42314520614
"EX1-SY0.m3",2211.46977322061
"EX2-SY0.m3",2238.77017886615
"EX1-SY1.m0",1886.03416137881
"EX2-SY1.m0",2249.342981666
"EX1-SY1.m1",1784.34965193325
"EX2-SY1.m1",2126.92082032829
"EX1-SY1.m2",1789.5504113371
"EX2-SY1.m2",2131.80725384456
"EX1-SY1.m3",1794.80790671693
"EX2-SY1.m3",2136.6397471938
