"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"EX1-SY0.m0.int",2284.25063289146,43.957264957265,2.01236032198082,233.999999994805,21.8436352958881,2.09805752981128e-58
"EX1-SY0.m0.UCS",0,0,0,0,0,0
"EX2-SY0.m0.int",2261.24039151528,-33.0235674161921,10.7573155702906,227.673917322179,-3.06987065689475,0.00240159331654242
"EX2-SY0.m0.UCS",0,8.16260723445312,1.12298180485316,220.960090756541,7.26869055150936,6.19370219775847e-12
"EX1-SY0.m1.int",2242.46968887426,-33.0235672483662,10.7573156014801,227.673911816235,-3.06987063239296,0.0024015935121128
"EX1-SY0.m1.UCS",0,8.16260721665783,1.12298180959828,220.960082313576,7.26869050494935,6.19370450283148e-12
"EX2-SY0.m1.int",2212.90112792522,-32.9898905175478,10.7441458683456,135.763471701532,-3.0704991277848,0.0025818067810934
"EX2-SY0.m1.UCS",0,8.15909172114627,1.12192947232089,161.573045848446,7.27237488847485,1.43985445091037e-11
"EX1-SY0.m2.int",2247.92500998962,34.7948717948718,2.89432341078796,38.9999997057742,12.0217635890936,1.0876522244177e-14
"EX1-SY0.m2.UCS",0,0,0,0,0,0
"EX2-SY0.m2.int",2216.08551965685,-8.33411253213944,6.1432858573353,222.20315347901,-1.35662131401361,0.176278250675191
"EX2-SY0.m2.UCS",0,4.80445828068779,0.617348488304242,222.343943485628,7.78240875568492,2.65885112873336e-13
"EX1-SY0.m3.int",2253.37938416224,-9.84759561495728,5.37823294148682,197.535641815132,-1.83100950109366,0.0686056052958991
"EX1-SY0.m3.UCS",0,4.96047144583366,0.617387542313177,230.093607370578,8.03461538476817,4.87252504652102e-14
"EX2-SY0.m3.int",2221.54084077246,-9.84759567391331,5.37823090197821,166.318159388095,-1.83101020640285,0.0688884818710056
"EX2-SY0.m3.UCS",0,4.96047141780079,0.617387613315943,50.0702443408543,8.03461441534025,1.4563093268232e-10
"EX1-SY1.m0.int",1886.03416137881,43.2760416666667,2.27683630407338,191.999999997382,19.0070940055039,5.32203267800753e-46
"EX1-SY1.m0.UCS",0,0,0,0,0,0
"EX2-SY1.m0.int",2249.342981666,-28.3095673478223,15.9889739726205,191.999999994659,-1.77056810501409,0.078219358879045
"EX2-SY1.m0.UCS",0,7.53602248449646,1.66770843590749,191.9999999952,4.51878896948537,1.08539325696779e-05
"EX1-SY1.m1.int",1871.88669611542,-28.3095673478223,15.9889739726205,191.999999994677,-1.77056810501409,0.0782193588790448
"EX1-SY1.m1.UCS",0,7.53602248449646,1.66770843590749,191.999999995219,4.51878896948537,1.08539325696774e-05
"EX2-SY1.m1.int",2204.33425358962,-28.3095749749825,15.9889781863464,191.989007421269,-1.77056811542573,0.0782194480155007
"EX2-SY1.m1.UCS",0,7.5360232734059,1.66770888056427,191.989057460592,4.51878823770255,1.08542889691354e-05
"EX1-SY1.m2.int",1877.14419148745,32.6710526315789,2.48722872616735,38.0000001616099,13.1355240022186,1.05318579522939e-15
"EX1-SY1.m2.UCS",0,0,0,0,0,0
"EX2-SY1.m2.int",2209.76359963475,-23.2755949964859,7.78629882107784,227.653653323801,-2.98930153226047,0.00310309721945355
"EX2-SY1.m2.UCS",0,6.10932090719962,0.812188145207345,221.464384420291,7.52205131686569,1.33513805186248e-12
"EX1-SY1.m3.int",1882.4016892385,-23.2755698668029,7.78630464775995,227.652488723816,-2.98929606787208,0.00310315220925985
"EX1-SY1.m3.UCS",0,6.10931815981215,0.812185408827554,221.465183130902,7.52207327712446,1.33494612442902e-12
"EX2-SY1.m3.int",2214.97504127703,-23.7468505450265,8.43291560926047,13.3652346194522,-2.81597156254585,0.0142550841890577
"EX2-SY1.m3.UCS",0,6.15972872975782,0.866883871285295,12.7558152569421,7.10559849340031,8.86396880851963e-06
