cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.5,0.5,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.876,-0.741,0.692,0.548,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.876,-0.741,0.692,0.548,-0.032,0.217,0.742,0.844,-0.867,-0.741,-0.865,-0.741
0.5,0.5,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,-0.137,-0.079,0.159,0.325,0.471,0.495,0.242,0.192,0.471,0.495,-0.137,-0.079,0.159,0.325,-0.033,-0.07,0.537,0.369,-0.112,-0.079,-0.117,-0.079
0.4,0.4,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.355,0.359,-0.245,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.4,0.4,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.387,-0.412,0.438,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.4,0.4,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.21,-0.231,0.664,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.604,-0.563,-0.501,-0.392,0.424,0.27,0.676,0.683,-0.582,-0.563,-0.602,-0.563
0.4,0.4,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.284,-0.343,0.503,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.502,-0.548,-0.294,-0.249,0.272,0.218,0.478,0.637,-0.496,-0.548,-0.502,-0.548
0.4,0.4,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.136,0.168,0.123,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.4,0.4,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.478,-0.482,0.775,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.4,0.4,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.532,-0.485,0.854,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.866,-0.741,-0.474,-0.307,0.419,0.306,0.829,0.844,-0.86,-0.741,-0.867,-0.741
0.4,0.4,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.044,-0.059,0.261,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.119,-0.079,-0.202,-0.165,0.047,-0.137,0.463,0.369,-0.1,-0.079,-0.118,-0.079
0.3,0.3,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.394,0.384,-0.245,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.3,0.3,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.447,-0.41,0.439,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
