cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.7,0.7,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.088,0.137,0.079,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.7,0.7,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,0.317,0.234,0.716,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.7,0.7,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,0.36,0.307,0.799,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.887,-0.741,0.798,0.844,0.7,0.498,-0.092,0.015,-0.875,-0.741,-0.87,-0.741
0.7,0.7,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.171,0.165,0.225,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.169,-0.079,0.18,0.369,0.096,0.113,-0.637,-0.534,-0.129,-0.079,-0.126,-0.079
0.6,0.6,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.133,0.077,-0.231,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.6,0.6,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.083,0.041,0.403,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.6,0.6,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,0.261,0.392,0.656,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.606,-0.563,0.649,0.683,0.123,0.302,-0.541,-0.094,-0.588,-0.563,-0.594,-0.563
0.6,0.6,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,0.089,0.249,0.487,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.508,-0.548,0.51,0.637,0.049,0.321,-0.282,-0.048,-0.502,-0.548,-0.499,-0.548
0.6,0.6,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.102,0.137,0.096,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.6,0.6,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,0.081,0.234,0.74,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
