first_type,second_type,n_participants,corr_predictive_mean,corr_predictive_std,corr_diagnostic_mean,corr_diagnostic_std,corr_diff_mean,corr_diff_std
diagnostic,diagnostic,2,-0.487381807661554,0.6068366265926307,0.5608789877530967,0.4035556291009578,-1.0482607954146508,1.0103922556935885
diagnostic,intermediate,4,-0.6012089586852609,0.42526390379769985,0.626593624800224,0.32770545834062265,-1.2278025834854849,0.7390793582682467
diagnostic,predictive,7,-0.13421454885071546,0.8524909623660337,0.09874009429503505,0.7775545350380746,-0.23295464314575054,1.6260532372489405
intermediate,diagnostic,4,-0.5432575413711448,0.44790971644087374,0.4472280207610163,0.38880379161679834,-0.990485562132161,0.8235802249086291
intermediate,intermediate,3,0.07471859463401158,0.7189478517718538,-0.12995021223370032,0.705103178460943,0.2046688068677119,1.4177136332516964
intermediate,predictive,5,-0.44144564009282056,0.5965949606016276,0.32333482813651865,0.5146543359231923,-0.7647804682293392,1.1108521020331843
predictive,diagnostic,3,-0.11470988862120106,0.44838925718150124,0.16786167795339832,0.4568296055772468,-0.28257156657459936,0.9015382795111524
predictive,intermediate,9,-0.4719071076533393,0.49445290080541665,0.4274205910102613,0.4309636870945048,-0.8993276986636006,0.9123832787593361
