condition_tag,case_label,experiment,condition,cluster,model,participants,k,silhouette,silhouette_grid,stimulus1,stimulus2,stimulus3,stimulus4,stimulus5,stimulus6
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,CS_STRG,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.4425373848088055,0.44692199169555835,0.5585213044651048,0.48152652890137615,0.4949400017636691,0.6002293924898477
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,CS_STRC,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",47.5701477104415,45.00000032953944,45.0,76.22222222222223,45.000149849530715,45.00000069096694
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,CS_SS_STRG,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5197979718400947,0.48874127292546443,0.31676110412622116,0.5548945714085264,0.5608420347910182,0.3718775296754891
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,CS_SS_STRC,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",73.53964263847276,60.22176589964996,45.0,76.22222222222223,73.53363910065028,71.14345496746088
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,Ising_STRG,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5639257311996505,0.4411164757587232,0.3905877767858324,0.6052917005058912,0.4973527001962161,0.4785606273013626
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,Ising_STRC,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",46.65192547863485,45.00000290387446,45.0,76.22222222222223,45.00246192594276,45.000000030503884
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,Ising_SS_STRG,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.6220155211021666,0.48895951660737963,0.3444568796194699,0.6599319673155052,0.5488971879201118,0.44812063717226946
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,Ising_SS_STRC,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",45.82381430596638,45.00282601840704,45.0,76.22222222222223,45.00283504724164,45.00282601859931
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,DeltaP,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5,0.3333333333333333,0.0,0.5384615384615384,0.39999999999999997,0.1428571428571429
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,DFH,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.7071067811865476,0.6666666666666666,0.7071067811865476,0.7337993857053429,0.7,0.7337993857053429
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,PCE,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",1.0,0.6666666666666666,0.5,1.0,0.7,0.5384615384615384
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,PEC,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5,0.6666666666666666,1.0,0.5384615384615384,0.7,1.0
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,CS_STRG,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.4425373848088055,0.44692199169555835,0.5585213044651048,0.48152652890137615,0.4949400017636691,0.6002293924898477
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,CS_STRC,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",40.351988957294715,11.720964609204463,-0.2857142857142857,45.285714285714285,22.22647861969645,12.957684984987644
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,CS_SS_STRG,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5197979718400947,0.48874127292546443,0.31676110412622116,0.5548945714085264,0.5608420347910182,0.3718775296754891
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,CS_SS_STRC,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",45.28419575213799,41.99800015323572,-0.2857142857142857,45.285714285714285,45.284190954911445,45.266493833533396
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,Ising_STRG,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5639257311996505,0.4411164757587232,0.3905877767858324,0.6052917005058912,0.4973527001962161,0.4785606273013626
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,Ising_STRC,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",41.89385700613799,29.894049161373385,-0.2857142857142857,45.28571428571428,35.252212799297624,24.40622239274453
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,Ising_SS_STRG,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.6220155211021666,0.48895951660737963,0.3444568796194699,0.6599319673155052,0.5488971879201118,0.44812063717226946
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,Ising_SS_STRC,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",40.04561307328906,9.887671280899735,-0.2857142857142857,45.285714285714285,29.3637952626793,12.258720871984702
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,DeltaP,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5,0.3333333333333333,0.0,0.5384615384615384,0.39999999999999997,0.1428571428571429
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,DFH,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.7071067811865476,0.6666666666666666,0.7071067811865476,0.7337993857053429,0.7,0.7337993857053429
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,PCE,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",1.0,0.6666666666666666,0.5,1.0,0.7,0.5384615384615384
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,PEC,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.5,0.6666666666666666,1.0,0.5384615384615384,0.7,1.0
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,CS_STRG,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.4425373848088055,0.44692199169555835,0.5585213044651048,0.48152652890137615,0.4949400017636691,0.6002293924898477
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,CS_STRC,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",85.66082952335898,25.66133179076233,0.5,96.0,47.676805508674214,28.25301696697254
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,CS_SS_STRG,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.5197979718400947,0.48874127292546443,0.31676110412622116,0.5548945714085264,0.5608420347910182,0.3718775296754891
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,CS_SS_STRC,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",93.00033881663332,58.56236314903101,0.5,96.0,92.99222962395173,88.83959617086344
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,Ising_STRG,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.5639257311996505,0.4411164757587232,0.3905877767858324,0.6052917005058912,0.4973527001962161,0.4785606273013626
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,Ising_STRC,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",94.6176943199809,88.09384198467698,0.5,96.0,91.15920112569718,83.64742823466986
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,Ising_SS_STRG,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.6220155211021666,0.48895951660737963,0.3444568796194699,0.6599319673155052,0.5488971879201118,0.44812063717226946
