condition_tag,case_label,experiment,condition,cluster,participants,k,silhouette,silhouette_grid,corr_delta_p,corr_dfh,corr_pce,corr_pec,corr_cs_strg,corr_ising_strg,corr_cs_strc,corr_ising_strc,corr_cs_ss_strg,corr_ising_ss_strg,corr_cs_ss_strc,corr_ising_ss_strc,corr_cs,corr_ising
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster0,9,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",-0.6958695874090479,0.6307827140510103,-0.6184781769979875,0.8404516481763671,0.9736283831836496,-0.3127906362797828,-0.4006909103362811,-0.5219124863474693,-0.7328151094343137,-0.5576823263495312,-0.1724450428144017,-0.4150815516194033,-0.1724450428144017,-0.4150815516194033
Asymmetric_Online,Cond0_ex2,Online,Asymmetric,Cluster1,28,2,0.3184715550823043,"((2, 0.3184715550823043), (3, 0.23017075092864941), (4, 0.23903733289721352), (5, 0.20986819702263895), (6, 0.17789558201641886))",0.9472009949525049,-0.21311643532883387,0.7619494095435827,-0.902404255581887,-0.807637848319899,0.712333949984135,0.6342860486109922,0.7960708897995744,0.9736721926336488,0.8799220198477073,0.679350341291358,0.7403854142320656,0.679350341291358,0.7403854142320656
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster0,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.36627229861063004,0.5947113341124048,0.34550449399947714,-0.16580376517717282,0.14950008060436104,0.622287202590372,0.40464782426931034,0.4096451798315658,0.23671621769783863,0.4861842710418819,0.5731570126231886,0.49896321955460865,0.5731570126231886,0.49896321955460865
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster1,9,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.9882191420629616,-0.09034907461102572,0.9108114222619951,-0.9713165464619353,-0.8339535324916137,0.8297487927316074,0.7837510165788233,0.8918671221814176,0.9343079440729916,0.953602286558455,0.7078236802195046,0.8558335606659645,0.7078236802195046,0.8558335606659645
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster2,19,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.9440972540442174,0.17774198372847275,0.9899832926075652,-0.9298925043835315,-0.7134206479082179,0.9322902921374154,0.9522894998859983,0.9829955928761581,0.8077335213428457,0.9670903132831328,0.8244933356682155,0.9651315019598895,0.8244933356682155,0.9651315019598895
Symmetric_Online,Cond1_ex2,Online,Symmetric,Cluster3,4,4,0.3033699433601508,"((2, 0.25577225868779513), (3, 0.2507768582531792), (4, 0.3033699433601508), (5, 0.29906362911697404), (6, 0.2275892631296965))",0.11945603809809707,-0.36404371055140805,-0.26235794949816565,0.01542839826550916,-0.05024420748515131,-0.13867385307572347,-0.3806652645699054,-0.1772854596113936,0.3799508724601218,0.022330241850422157,-0.01819554950947343,-0.19306571957737023,-0.01819554950947343,-0.19306571957737023
Asymmetric_List,Cond0_ex1,List,Asymmetric,Cluster0,8,2,0.3955361292414052,"((2, 0.3955361292414052), (3, 0.24282047160128847), (4, 0.30186212636960597), (5, 0.2502038389545468), (6, 0.28791712745883613))",0.2953439615295129,0.46844072467774894,0.09854469584343059,-0.028123880873382023,0.2471019600509178,0.45344211367731035,0.16524728757652088,0.25453433254679647,0.3149518489651035,0.3742663144653613,0.5562488216894286,0.31674831879365845,0.5562488216894286,0.31674831879365845
Asymmetric_List,Cond0_ex1,List,Asymmetric,Cluster1,26,2,0.3955361292414052,"((2, 0.3955361292414052), (3, 0.24282047160128847), (4, 0.30186212636960597), (5, 0.2502038389545468), (6, 0.28791712745883613))",0.9853780486057088,-0.06092337853832425,0.8802034223316314,-0.9491949158427093,-0.8005484194393442,0.8198223959953974,0.7804070067220925,0.9017732930337623,0.9821869298850834,0.9483909840692554,0.7666750295008198,0.8578149670187009,0.7666750295008198,0.8578149670187009
Symmetric_List,Cond1_ex1,List,Symmetric,Cluster0,5,2,0.4659416833198691,"((2, 0.4659416833198691), (3, 0.37925552711342786), (4, 0.2877858114940009), (5, 0.23909499963542533), (6, 0.26150668188287324))",0.4037875423235373,0.3228651572361815,0.2301653550181709,-0.18714219048540803,0.04788728970910039,0.5061479833442105,0.2293275071735498,0.3203607698202899,0.36740203675633476,0.4618606588397707,0.50429437044258,0.3809355282098505,0.50429437044258,0.3809355282098505
Symmetric_List,Cond1_ex1,List,Symmetric,Cluster1,26,2,0.4659416833198691,"((2, 0.4659416833198691), (3, 0.37925552711342786), (4, 0.2877858114940009), (5, 0.23909499963542533), (6, 0.26150668188287324))",0.9901138394213292,-0.10395924670573073,0.9020441148745857,-0.9756314206326675,-0.8453103530211288,0.8125966820058097,0.787456203969762,0.9035855078583407,0.9673936520436588,0.9477413862270418,0.7306130987904157,0.8566184232446119,0.7306130987904157,0.8566184232446119
