CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice,SS_Support,Uniform_Support,Chi2_Support
0.6,0.6,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,0.103,0.767,0.273,-0.056,0.273,0.672,0.745,0.815
0.6,0.6,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.457,-0.954,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.6,0.6,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.733,0.924,0.251,-0.02,0.251,0.818,0.919,0.863
0.6,0.6,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.198,-0.194,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.5,0.5,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.525,0.049,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.5,0.5,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.2,0.801,0.268,-0.001,0.268,0.727,0.788,0.849
0.5,0.5,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.11,-0.806,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.5,0.5,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.033,0.891,0.179,0.089,0.179,0.838,0.888,0.937
0.5,0.5,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.233,0.766,0.273,-0.056,0.273,0.672,0.745,0.815
0.5,0.5,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,-0.097,-0.938,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.5,0.5,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.631,0.92,0.251,-0.02,0.251,0.818,0.919,0.863
0.5,0.5,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.137,-0.125,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.4,0.4,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.618,0.145,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.4,0.4,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.526,0.798,0.268,-0.001,0.268,0.727,0.788,0.849
0.4,0.4,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.43,-0.827,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.4,0.4,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.413,0.87,0.179,0.089,0.179,0.838,0.888,0.937
0.4,0.4,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.547,0.766,0.273,-0.056,0.273,0.672,0.745,0.815
0.4,0.4,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.309,-0.89,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.4,0.4,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.529,0.892,0.251,-0.02,0.251,0.818,0.919,0.863
0.4,0.4,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,-0.056,-0.04,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.3,0.3,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.641,0.33,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.3,0.3,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.714,0.743,0.268,-0.001,0.268,0.727,0.788,0.849
0.3,0.3,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.612,-0.804,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.3,0.3,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.658,0.747,0.179,0.089,0.179,0.838,0.888,0.937
0.3,0.3,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.719,0.704,0.273,-0.056,0.273,0.672,0.745,0.815
0.3,0.3,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.595,-0.727,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.3,0.3,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.434,0.834,0.251,-0.02,0.251,0.818,0.919,0.863
0.3,0.3,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,0.054,0.056,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.2,0.2,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.617,0.54,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.2,0.2,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.778,0.546,0.268,-0.001,0.268,0.727,0.788,0.849
0.2,0.2,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.673,-0.652,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.2,0.2,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.766,0.502,0.179,0.089,0.179,0.838,0.888,0.937
0.2,0.2,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.772,0.525,0.273,-0.056,0.273,0.672,0.745,0.815
0.2,0.2,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.739,-0.437,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.2,0.2,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.401,0.778,0.251,-0.02,0.251,0.818,0.919,0.863
0.2,0.2,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,0.126,0.111,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.1,0.1,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.627,0.643,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.1,0.1,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.759,0.364,0.268,-0.001,0.268,0.727,0.788,0.849
0.1,0.1,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.643,-0.5,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.1,0.1,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.775,0.29,0.179,0.089,0.179,0.838,0.888,0.937
0.1,0.1,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.745,0.358,0.273,-0.056,0.273,0.672,0.745,0.815
0.1,0.1,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.781,-0.195,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.1,0.1,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.436,0.743,0.251,-0.02,0.251,0.818,0.919,0.863
0.1,0.1,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,0.173,0.143,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
0.01,0.01,オンライン,非対称否定,クラスタ1,13,2.615,48.5,0.357,-0.184,-0.13,0.71,0.673,0.665,0.622,0.665,-0.047,-0.025,-0.081
0.01,0.01,オンライン,非対称否定,クラスタ2,26,2.24,21.096,-0.926,0.878,0.973,-0.571,0.274,0.268,-0.001,0.268,0.727,0.788,0.849
0.01,0.01,オンライン,対称否定,クラスタ1,1,0.0,50.833,0.875,-0.842,-0.973,0.436,-0.412,-0.412,-0.088,-0.412,-0.71,-0.781,-0.835
0.01,0.01,オンライン,対称否定,クラスタ2,31,2.129,33.016,-0.954,0.964,0.983,-0.625,0.183,0.179,0.089,0.179,0.838,0.888,0.937
0.01,0.01,サマリー,非対称否定,クラスタ1,37,2.361,43.032,-0.924,0.85,0.987,-0.557,0.27,0.273,-0.056,0.273,0.672,0.745,0.815
0.01,0.01,サマリー,非対称否定,クラスタ2,2,0.0,35.417,0.934,-0.984,-0.923,0.669,-0.081,-0.073,-0.134,-0.073,-0.929,-0.95,-0.977
0.01,0.01,サマリー,対称否定,クラスタ1,36,2.514,40.565,-0.947,0.893,0.997,0.58,0.735,0.251,-0.02,0.251,0.818,0.919,0.863
0.01,0.01,サマリー,対称否定,クラスタ2,2,0.5,17.667,-0.053,-0.201,0.003,0.182,0.157,-0.338,-0.673,-0.338,-0.435,-0.216,-0.347
