user_id,ex1_est1,ex1_est2,ex1_est3,ex1_est4,ex1_est5,ex1_est6,ex1_duration_sec,ex1_2_est1,ex1_2_est2,ex1_2_est3,ex1_2_est4,ex1_2_est5,ex1_2_est6,ex1_2_duration_sec,imc_result,imc_timestamp,crt_q1,crt_q2,crt_q3,crt_timestamp,reason
mclodv3ut2bst4qqi3.000,57,0,0,70,67,50,46.0,0,0,20,38,16,36,251.0,True,2025-07-02 17:15:05,50,5,24,2025-07-02 17:15:13,short_duration_ex1
mcln966w5ayflxl00s,36,33,12,9,31,30,38.0,43,34,35,46,-31,28,262.0,False,2025-07-02 16:43:54,100,100,24,2025-07-02 16:44:05,short_duration_ex1
mclng77lh9kyndz0lp,61,41,0,64,0,76,54.0,73,1,1,0,30,33,249.0,True,2025-07-02 16:50:07,50,1,24,2025-07-02 16:50:23,short_duration_ex1
mclo4ivav2gwxlhpwc.000,49,51,0,55,75,8,46.0,70,75,0,0,10,0,230.0,True,2025-07-02 17:07:46,50,5,10,2025-07-02 17:07:55,short_duration_ex1
mcll6x95i4b8ac15l6.eee,43,38,36,40,43,41,49.0,49,45,42,53,62,50,283.0,False,2025-07-02 15:47:26,100,100,24,2025-07-02 15:48:57,short_duration_ex1;similar_answers_ex1
mclnv4bywkmk14jljd,46,43,11,1,55,56,51.0,35,0,30,48,30,71,250.0,True,2025-07-02 17:00:39,50,5,12,2025-07-02 17:00:50,short_duration_ex1
mclomq7keo3wh0bof8.000,59,0,1,78,47,49,52.0,30,20,0,10,0,10,230.0,True,2025-07-02 17:21:59,50,100,12,2025-07-02 17:22:08,short_duration_ex1
mcll64y6b4oezqkjc9,33,46,23,67,28,25,48.0,70,60,25,66,38,-35,252.0,False,2025-07-02 15:45:14,50,5,47,2025-07-02 15:47:01,short_duration_ex1
mclmeekysi90pq3ygt.3ll,12,58,48,68,0,41,48.0,12,10,52,61,5,0,246.0,False,2025-07-02 16:20:25,100,5,24,2025-07-02 16:20:38,short_duration_ex1
