user_id,Cond,ex1_cover_story,ex1_a,ex1_b,ex1_c,ex1_d,ex1_estimate,ex1_is_first,ex1_sample_number,ex1_timestamp,order,ex2_cover_story,ex2_a,ex2_b,ex2_c,ex2_d,ex2_estimate,ex2_is_first,ex2_is_symmetric,ex2_sample_number,ex2_timestamp,imc_pass,crt_correct_cnt,CS_1.0,UCS_1.0,CS_0.7,UCS_0.7,CS_0.5,UCS_0.5,CS_0.2,UCS_0.2,CS_0.1,UCS_0.1,2_CS_1.0,2_UCS_1.0,2_CS_0.7,2_UCS_0.7,2_CS_0.5,2_UCS_0.5,2_CS_0.2,2_UCS_0.2,2_CS_0.1,2_UCS_0.1
mcll4ctj75ys035ren.wee,0,5,6,6,0,12,15,1,1,2025/7/2 15:39,4,6,7,6,0,13,10,0,0,26,2025/7/2 15:43,1,2,3.138602,3.514282,3.204829,3.515832,3.127653,3.347991,4.621745,5.514163,7.455257,8.901872,4.001904,4.369142,4.018504,4.331198,3.923233,4.199714,5.84384,6.860498,9.408991,10.82585
mcll4ctj75ys035ren.wee,0,12,6,3,3,6,11,1,2,2025/7/2 15:39,5,3,6,3,3,6,7,0,0,18,2025/7/2 15:44,1,2,0.659116,0.796326,0.669091,0.856206,1.144698,1.372618,4.794375,5.031199,8.473003,8.467872,0.668153,0.811307,0.663943,0.838739,1.12894,1.348914,4.78601,4.939919,8.433857,8.484369
mcll4ctj75ys035ren.wee,0,4,7,0,6,1,4,1,6,2025/7/2 15:40,6,9,7,3,3,7,16,0,0,20,2025/7/2 15:45,1,3,0.682645,0.435203,2.072868,0.7953,4.043703,1.610473,10.17968,6.135807,14.85039,10.42839,1.11642,1.412287,1.196638,1.356758,1.712783,2.000577,6.112474,6.312276,10.42476,10.45886
mcll4p2b9leju4ephg.p77,0,2,7,3,3,7,85,1,5,2025/7/2 15:38,1,3,6,3,3,6,53,0,0,18,2025/7/2 15:41,1,2,1.167381,1.358616,1.188029,1.436177,1.772708,2.076595,6.083644,6.387181,10.38418,10.45974,0.638883,0.804916,0.647638,0.832842,1.095627,1.382638,4.74259,4.861287,8.441101,8.542576
mcll4p2b9leju4ephg.p77,0,9,6,3,3,6,46,1,2,2025/7/2 15:39,2,5,7,0,6,1,1,0,0,14,2025/7/2 15:42,1,2,0.644927,0.792824,0.650178,0.869015,1.145338,1.393059,4.836465,4.92153,8.438006,8.410218,0.691724,0.38911,2.147041,0.73172,4.143654,1.635783,10.04292,6.120003,14.83524,10.61071
mcll4p2b9leju4ephg.p77,0,12,7,6,0,13,56,1,4,2025/7/2 15:39,3,4,6,6,0,12,42,0,0,24,2025/7/2 15:43,1,2,4.020446,4.308056,4.030593,4.447708,4.03007,4.102345,5.828974,6.97455,9.249415,10.82726,3.142159,3.749344,3.167255,3.45922,3.143885,3.36405,4.588258,5.445903,7.48432,8.691661
mcll4p2b9leju4ephg.p77,0,1,7,0,6,1,0,1,6,2025/7/2 15:39,4,10,7,3,3,7,13,0,0,20,2025/7/2 15:44,1,3,-2.20422,-1.27211,-2.01421,-1.56325,-2.1807,-1.79266,-2.1295,-2.09592,-2.19367,-1.95155,1.168157,1.341107,1.193602,1.474564,1.718757,2.006231,6.155102,6.322808,10.42876,10.48484
mcll4p2b9leju4ephg.p77,0,7,6,6,0,12,51,1,1,2025/7/2 15:39,5,6,7,6,0,13,23,0,0,26,2025/7/2 15:45,1,3,2.91638,3.629737,3.052548,3.482938,3.128496,3.350373,4.618057,5.40896,7.453738,8.811731,3.986982,4.371718,4.025367,4.329078,4.059111,4.176286,5.836095,6.868909,9.335987,10.76127
mcll4p2b9leju4ephg.p77,0,11,6,0,6,0,0,1,3,2025/7/2 15:40,6,8,6,0,6,0,0,0,0,12,2025/7/2 15:45,1,2,-1.97663,-1.0276,-1.90222,-1.3407,-1.97495,-1.70396,-1.9459,-1.94911,-2.08707,-1.96771,-1.83,-0.95849,-1.85271,-1.43216,-1.92175,-1.70682,-1.86176,-1.86338,-1.90204,-1.82882
mcll4qx9fuj8krv92g.wee,1,12,7,6,0,13,90,0,4,2025/7/2 15:46,1,8,6,0,6,0,50,1,1,12,2025/7/2 15:39,1,3,3.958011,4.521911,4.026784,4.319737,4.039832,4.149298,5.820765,6.912566,9.297237,10.71427,0.313683,0.008824,1.758597,0.293263,3.514787,1.091517,8.534712,4.90159,12.6338,8.373758
mcll4qx9fuj8krv92g.wee,1,11,7,0,6,1,15,0,6,2025/7/2 15:46,2,5,6,3,3,6,70,1,1,18,2025/7/2 15:40,1,2,0.689434,0.439045,2.127941,0.615794,4.127477,1.576664,10.12574,6.232677,14.8782,10.50827,0.648098,0.893632,0.63107,0.837947,1.132267,1.378138,4.763581,5.053754,8.455271,8.48374
mcll4qx9fuj8krv92g.wee,1,10,7,3,3,7,40,0,5,2025/7/2 15:46,3,3,7,6,0,13,100,1,1,26,2025/7/2 15:41,1,3,1.179434,1.40963,1.195942,1.396592,1.748496,1.905672,6.111192,6.280844,10.41969,10.45295,4.088692,4.316516,4.066696,4.395348,3.987211,4.190535,5.7982,6.7999,9.325023,10.58542
