user_id,Cond,ex1_cover_story,ex1_a,ex1_b,ex1_c,ex1_d,ex1_estimate,ex1_is_first,ex1_sample_number,ex1_timestamp,order,ex2_cover_story,ex2_a,ex2_b,ex2_c,ex2_d,ex2_estimate,ex2_is_first,ex2_is_symmetric,ex2_sample_number,ex2_timestamp,imc_pass,crt_correct_cnt,CS_1.0,UCS_1.0,CS_0.7,UCS_0.7,CS_0.5,UCS_0.5,CS_0.2,UCS_0.2,CS_0.1,UCS_0.1,2_CS_1.0,2_UCS_1.0,2_CS_0.7,2_UCS_0.7,2_CS_0.5,2_UCS_0.5,2_CS_0.2,2_UCS_0.2,2_CS_0.1,2_UCS_0.1
mcllag1fzlihejt9uo.p77,0,2,7,6,0,13,85,1,4,2025-07-02 15:44:00,2,11,6,6,0,12,60,0,0,24,2025-07-02 15:48:00,0.0,,3.905626,4.564911,4.020821,4.357441,3.944868,4.273545,5.814533,6.977055,9.258072,10.77857,4.022609,4.358302,4.064503,4.395261,3.897609,4.235282,5.917106,6.953666,9.280353,10.79309
mcllag1fzlihejt9uo.p77,0,12,6,3,3,6,60,1,2,2025-07-02 15:45:00,3,9,7,6,0,13,70,0,0,26,2025-07-02 15:49:00,0.0,,0.667858,0.467907,2.145258,0.653753,4.0117,1.701887,10.10141,6.131216,14.83344,10.45243,0.625745,0.812264,0.622599,0.811392,1.116027,1.421621,4.812804,5.037766,8.45471,8.526884
mcllag1fzlihejt9uo.p77,0,5,7,3,3,7,80,1,5,2025-07-02 15:45:00,4,10,7,3,3,7,50,0,0,20,2025-07-02 15:50:00,0.0,,0.596406,0.818124,0.68693,0.88329,1.105464,1.407381,4.820639,4.880126,8.423453,8.45091,1.187534,1.326932,1.155599,1.42119,1.730119,1.97449,6.05764,6.320306,10.42182,10.3486
mcllag1fzlihejt9uo.p77,0,3,6,0,6,0,10,1,3,2025-07-02 15:45:00,5,7,6,3,3,6,20,0,0,18,2025-07-02 15:51:00,0.0,,-1.90987,-1.01892,-1.99975,-1.46653,-1.81903,-1.80347,-1.95533,-1.52938,-2.02771,-2.04122,3.126272,3.549611,3.098217,3.50528,3.163879,3.2484,4.52796,5.442085,7.470816,8.783899
mcllag1fzlihejt9uo.p77,0,8,7,0,6,1,30,1,6,2025-07-02 15:46:00,6,6,6,0,6,0,0,0,0,12,2025-07-02 15:51:00,0.0,,1.188054,1.329874,1.231825,1.396728,1.773091,2.005027,6.070376,6.441891,10.47272,10.44512,-2.15068,-1.10686,-1.99472,-1.50709,-1.96137,-1.71816,-1.86913,-1.69072,-2.02738,-1.87547
mcllbat1t0udyejp68.ass,1,3,6,6,0,12,65,0,1,2025-07-02 15:51:00,1,11,7,0,6,1,30,1,1,14,2025-07-02 15:44:00,0.0,,4.005516,4.306856,4.054431,4.478365,4.018272,4.327226,5.789047,6.880803,9.385449,10.73951,0.663743,0.841587,0.645127,0.845065,1.116072,1.384395,4.763484,4.918973,8.447013,8.434872
mcllbat1t0udyejp68.ass,1,2,7,6,0,13,65,0,4,2025-07-02 15:51:00,2,8,7,6,0,13,40,1,1,26,2025-07-02 15:46:00,0.0,,-1.90401,-0.77695,-1.83458,-1.3971,-1.93926,-1.68533,-1.98079,-2.0744,-1.92256,-1.78984,4.011253,4.507053,4.113536,4.348357,4.066078,4.095756,5.873485,6.879018,9.363498,10.75931
mcllbat1t0udyejp68.ass,1,10,7,0,6,1,10,0,6,2025-07-02 15:51:00,3,5,6,3,3,6,20,1,1,18,2025-07-02 15:47:00,0.0,,1.150847,1.387268,1.268569,1.380283,1.720637,2.030276,6.067031,6.329124,10.40607,10.40347,1.199821,1.394297,1.199059,1.377981,1.759927,1.984876,6.050061,6.380674,10.45307,10.32465
mcllbat1t0udyejp68.ass,1,6,6,3,3,6,50,0,2,2025-07-02 15:52:00,4,9,7,3,3,7,20,1,1,20,2025-07-02 15:48:00,0.0,,0.628564,0.805453,0.705963,0.836918,1.149988,1.414959,4.796251,4.94683,8.381677,8.470493,0.708474,0.415155,2.145407,0.707583,3.996284,1.605874,10.05799,6.314956,14.76248,10.46362
mcllbat1t0udyejp68.ass,1,4,6,0,6,0,0,0,3,2025-07-02 15:52:00,5,1,6,6,0,12,40,1,1,24,2025-07-02 15:49:00,0.0,,3.209178,3.712507,3.202043,3.51264,3.103836,3.401594,4.582864,5.557656,7.444041,8.854577,-2.06405,-0.95515,-1.8842,-1.46643,-1.9256,-1.80555,-1.77333,-2.0564,-2.05162,-2.03314
mcllbat1t0udyejp68.ass,1,7,7,3,3,7,50,0,5,2025-07-02 15:52:00,6,12,6,0,6,0,0,1,1,12,2025-07-02 15:50:00,0.0,,0.706031,0.442358,2.125246,0.719024,4.130467,1.571454,10.00088,6.273889,14.84626,10.3563,3.128356,3.640598,3.199344,3.501427,3.101491,3.40388,4.586156,5.460488,7.508542,8.69841
mclldxvsmo35k8j2cy,1,4,7,6,0,13,65,0,4,2025-07-02 16:03:00,1,5,7,0,6,1,0,1,1,14,2025-07-02 15:46:00,1.0,,0.304154,0.036228,1.707914,0.269745,3.404633,1.038314,8.536287,4.930864,12.55519,8.361914,-1.46656,-1.37458,-1.517,-1.4556,-1.66761,-1.65981,-1.91446,-2.03844,-1.90698,-1.64772
mclldxvsmo35k8j2cy,1,6,6,6,0,12,56,0,1,2025-07-02 16:03:00,2,9,6,0,6,0,0,1,1,12,2025-07-02 15:53:00,1.0,,1.208627,1.36339,1.240993,1.471309,1.757714,1.962614,6.034087,6.231516,10.4065,10.33439,2.984685,3.75044,3.193679,3.651216,3.10193,3.40956,4.592798,5.528818,7.59065,8.720239
mclldxvsmo35k8j2cy,1,7,6,3,3,6,14,0,2,2025-07-02 16:03:00,3,10,6,3,3,6,1,1,1,18,2025-07-02 15:54:00,1.0,,0.698705,0.452267,2.149432,0.666273,4.092672,1.616164,10.16036,6.171848,14.78097,10.37984,-1.81537,-1.91349,-1.77172,-1.8446,-1.784,-1.94301,-2.03422,-2.02762,-2.00725,-2.10077
mclldxvsmo35k8j2cy,1,11,7,0,6,1,59,0,6,2025-07-02 16:05:00,4,3,7,3,3,7,58,1,1,20,2025-07-02 16:00:00,1.0,,0.646463,0.80953,0.708905,0.877077,1.145527,1.436576,4.748542,5.028472,8.448581,8.484603,1.207959,1.436582,1.256979,1.427695,1.734582,2.010825,6.098295,6.37761,10.43989,10.48858
mclldxvsmo35k8j2cy,1,2,7,3,3,7,72,0,5,2025-07-02 16:05:00,5,12,7,6,0,13,24,1,1,26,2025-07-02 16:01:00,1.0,,3.124286,3.612806,3.225811,3.550274,3.243636,3.387221,4.600648,5.48561,7.486965,8.783104,0.309774,-0.01283,1.782766,0.293908,3.428597,1.047297,8.557055,4.921138,12.543,8.424956
mclldxvsmo35k8j2cy,1,1,6,0,6,0,0,0,3,2025-07-02 16:05:00,6,8,6,6,0,12,72,1,1,24,2025-07-02 16:02:00,1.0,,4.101968,4.429758,3.99169,4.393236,4.097489,4.180375,5.798149,6.91321,9.325594,10.67227,0.671086,0.410519,2.13929,0.703182,4.085776,1.633304,10.09388,6.17719,14.90396,10.46202
mclle2spltt3ajqc4m.wee,0,11,6,0,6,0,100,1,3,2025-07-02 15:50:00,1,1,6,3,3,6,0,0,0,18,2025-07-02 15:55:00,0.0,,0.693023,0.415253,2.126858,0.673396,4.024607,1.703542,10.11867,6.014723,14.85518,10.36916,1.230089,1.385414,1.237105,1.368079,1.702426,2.024619,6.042601,6.293288,10.43928,10.51553
mclle2spltt3ajqc4m.wee,0,8,7,3,3,7,70,1,5,2025-07-02 15:51:00,2,2,6,6,0,12,20,0,0,24,2025-07-02 15:57:00,0.0,,0.630232,0.815589,0.669654,0.866084,1.163584,1.326563,4.72066,4.873896,8.459854,8.566145,-1.90133,-1.04073,-1.84558,-1.45416,-1.90919,-1.58552,-2.02105,-1.93358,-1.90219,-2.01207
mclle2spltt3ajqc4m.wee,0,4,7,0,6,1,70,1,6,2025-07-02 15:51:00,3,3,7,6,0,13,-30,0,0,26,2025-07-02 16:00:00,0.0,,4.063737,4.461942,3.987712,4.402327,4.040927,4.216173,5.785731,6.96014,9.305385,10.7762,4.078429,4.27657,4.05288,4.419355,4.01673,4.183192,5.852995,6.901654,9.280367,10.72769
mclle2spltt3ajqc4m.wee,0,10,6,3,3,6,60,1,2,2025-07-02 15:52:00,4,7,7,3,3,7,60,0,0,20,2025-07-02 16:02:00,0.0,,3.085986,3.535896,3.114369,3.504569,3.213196,3.254804,4.620734,5.44941,7.462592,8.708142,0.698311,0.428925,2.071714,0.661038,4.010792,1.555033,10.16045,6.210794,14.92103,10.53772
mclle2spltt3ajqc4m.wee,0,9,6,6,0,12,60,1,1,2025-07-02 15:52:00,5,6,6,0,6,0,20,0,0,12,2025-07-02 16:03:00,0.0,,1.173736,1.429329,1.192697,1.436235,1.763259,2.014804,6.055919,6.303777,10.40426,10.39581,3.124606,3.737856,3.008681,3.442229,3.131251,3.370367,4.66197,5.497375,7.600046,8.868086
mclle2spltt3ajqc4m.wee,0,12,7,6,0,13,55,1,4,2025-07-02 15:52:00,6,5,7,0,6,1,50,0,0,14,2025-07-02 16:05:00,0.0,,-1.95352,-1.14676,-1.89388,-1.49678,-1.94356,-1.73905,-2.08261,-1.96799,-1.99091,-1.98545,0.621502,0.821954,0.685175,0.821222,1.135371,1.355484,4.747515,4.910434,8.423292,8.435216
mcllegdr0rb3wv31m4.3ll,0,7,7,3,3,7,70,0,5,2025-07-02 15:54:00,1,8,7,0,6,1,20,1,0,14,2025-07-02 15:47:00,0.0,,1.181475,1.420492,1.166925,1.402064,1.738465,1.965387,6.043212,6.299469,10.39544,10.58196,-1.99775,-1.03746,-1.88135,-1.48891,-1.96565,-1.75121,-1.89572,-1.68442,-1.92374,-1.7978
mcllegdr0rb3wv31m4.3ll,0,10,6,3,3,6,50,0,2,2025-07-02 15:54:00,2,4,6,0,6,0,0,1,0,12,2025-07-02 15:48:00,0.0,,3.064325,3.766358,3.174484,3.534147,3.1452,3.389706,4.565895,5.642656,7.467724,8.81122,3.938933,4.524747,4.035312,4.48991,4.017419,4.241425,5.762053,6.940212,9.297257,10.72941
mcllegdr0rb3wv31m4.3ll,0,5,7,0,6,1,100,0,6,2025-07-02 15:55:00,3,11,7,6,0,13,20,1,0,26,2025-07-02 15:50:00,0.0,,-2.15638,-1.40012,-2.11236,-1.61873,-2.13719,-1.74005,-1.9012,-1.84205,-2.07014,-2.37657,-1.62968,-1.67726,-1.67715,-1.64324,-1.83438,-1.93572,-2.00724,-2.06249,-2.07346,-2.25515
mcllegdr0rb3wv31m4.3ll,0,9,6,6,0,12,50,0,1,2025-07-02 15:55:00,4,6,7,3,3,7,10,1,0,20,2025-07-02 15:51:00,0.0,,4.054225,4.450424,4.023984,4.420347,4.031783,4.13913,5.835784,6.898643,9.322567,10.73773,3.140121,3.698683,3.144864,3.54904,3.094408,3.395217,4.552983,5.540661,7.425617,8.754716
mcllegdr0rb3wv31m4.3ll,0,3,6,0,6,0,0,0,3,2025-07-02 15:55:00,5,12,6,6,0,12,10,1,0,24,2025-07-02 15:52:00,0.0,,-1.98856,-1.03036,-1.93408,-1.4888,-2.00837,-1.50629,-2.0801,-1.76626,-1.93257,-1.85515,-2.17536,-1.28061,-2.01766,-1.47105,-2.04369,-1.79964,-2.20745,-1.91464,-2.05254,-2.12545
mcllegdr0rb3wv31m4.3ll,0,1,7,6,0,13,60,0,4,2025-07-02 15:56:00,6,2,6,3,3,6,30,1,0,18,2025-07-02 15:53:00,0.0,,0.640819,0.81435,0.633435,0.838802,1.11209,1.398074,4.743351,4.927393,8.414452,8.570888,-1.44301,-1.46013,-1.49033,-1.49654,-1.73112,-1.57788,-1.93087,-1.8912,-1.81907,-1.74417
mcllggn3tj8budljfi,0,2,7,3,3,7,35,0,5,2025-07-02 15:55:00,1,7,6,0,6,0,0,1,0,12,2025-07-02 15:48:00,0.0,,0.68912,0.304213,2.111566,0.693414,4.170804,1.558071,10.00493,6.178165,14.88132,10.58107,3.286838,3.525526,3.142467,3.555123,3.1123,3.424299,4.609107,5.509841,7.466007,8.732364
mcllggn3tj8budljfi,0,10,6,6,0,12,50,0,1,2025-07-02 15:55:00,2,8,7,6,0,13,70,1,0,26,2025-07-02 15:50:00,0.0,,-1.97278,-0.9205,-1.96238,-1.4095,-1.93887,-1.6714,-1.91237,-2.00032,-1.93218,-1.8494,3.914789,4.40464,4.065617,4.236423,4.156914,4.172696,5.83644,6.760361,9.311314,10.69686
