condition,experiment,first_mean,first_std,first_n,second_mean,second_std,second_n,mean_diff,t_stat,p_value,cohens_d,significant
非対称否定,サマリー,43.957264957264954,30.84918127958153,234,42.64102564102564,31.01556069059738,234,1.3162393162393116,0.4602703606216669,0.6455368639010508,0.042552009892249276,False
非対称否定,オンライン,34.794871794871796,30.619228288293247,234,30.23076923076923,27.7085954081325,234,4.564102564102566,1.6906842035162644,0.09156582055788264,0.1563038099075612,False
対称否定,サマリー,43.276041666666664,31.631249856678714,192,39.35964912280702,31.172428570132986,228,3.9163925438596436,1.2740496293465902,0.20335372782444,0.1247937838813782,False
対称否定,オンライン,32.671052631578945,32.623221435974926,228,33.572916666666664,29.79783357375758,192,-0.9018640350877192,-0.2935661112198078,0.7692351743517963,-0.028754944073293355,False
