condition,experiment,phase,n_samples,n_participants,cs_correlation,ucs_correlation,mean_estimate
非対称否定,サマリー,First,6,234,0.5222103058613602,-0.6807027261447507,43.957264957264954
非対称否定,サマリー,Second,6,234,-0.05238072263464619,-0.5761392200872325,42.64102564102564
非対称否定,オンライン,First,6,234,-0.005045777495356074,0.40478037974918163,34.794871794871796
非対称否定,オンライン,Second,6,234,0.3691121898219818,0.5415638915440951,30.23076923076923
対称否定,サマリー,First,6,192,-0.5493235494312005,-0.04831257451271806,43.276041666666664
対称否定,サマリー,Second,6,228,0.37121252337986976,-0.344529794091823,39.35964912280702
対称否定,オンライン,First,6,228,0.34593380995049794,-0.5565084675369096,32.67105263157895
対称否定,オンライン,Second,6,192,0.314275143731855,-0.08341648176972034,33.572916666666664
