experiment,phase,is_first,cluster_id,cluster_size,mean_estimate,std_estimate
EX1,Phase1,0,0,16,56.010416666666664,34.40914651709757
EX1,Phase1,0,1,61,37.09016393442623,28.966585595629702
EX1,Phase2,1,0,56,41.86011904761905,30.85925805567884
EX1,Phase2,1,1,15,50.333333333333336,31.582956575776997
EX2,Phase1,0,0,32,35.942708333333336,30.511208977272585
EX2,Phase1,0,1,23,16.231884057971016,18.486645349506496
EX2,Phase1,0,2,16,45.614583333333336,27.13877388987229
EX2,Phase2,1,0,34,49.122549019607845,31.41412065810092
EX2,Phase2,1,1,43,21.589147286821706,26.009909037550408
