condition,experiment,threshold,metric,common_samples,phase1_mean,phase1_std,phase2_mean,phase2_std,phase1_normal_p,phase2_normal_p,levene_p,t_statistic,t_pvalue,mann_whitney_u,mann_whitney_p,cohens_d,effect_size,significant_parametric,significant_nonparametric
非対称否定_サマリー,ex1,1.0,CS,6,1.6643903929437514,1.5312561675647225,1.6711209491209127,1.5465055667869971,0.11630201903024295,0.12139330866704445,0.9952166948822921,-0.007575324653626705,0.9941048173533249,19.0,0.9372294372294373,-0.004373615727970187,negligible,False,False
非対称否定_サマリー,ex1,1.0,UCS,6,1.7733574684544153,1.804885086929451,1.7806575118784045,1.8228906331197914,0.23771843628327388,0.23544221234538115,0.9821871166860673,-0.006970602016678298,0.99457540895047,17.0,0.9372294372294373,-0.004024478950742963,negligible,False,False
非対称否定_サマリー,ex1,0.7,CS,6,2.1540882251031594,1.2432415050155847,2.146798962697939,1.2366003897913884,0.8767777933464371,0.8658433068232119,0.9916390189397726,0.010182364922770722,0.9920760634987063,18.0,1.0,0.005878791129148679,negligible,False,False
非対称否定_サマリー,ex1,0.7,UCS,6,1.8474956073869355,1.6806136395731512,1.8525287400304735,1.6896181912213764,0.16676005860250298,0.1643997878367786,0.9975362529407692,-0.005173300106585115,0.9959740708649523,18.0,1.0,-0.0029868062091356357,negligible,False,False
非対称否定_サマリー,ex1,0.5,CS,6,2.9273233063499426,1.2221942048798724,2.917104479127421,1.2253902517147257,0.24271102884880902,0.25891108832299337,0.9903695373775292,0.014462841358334075,0.9887452059467162,20.0,0.8181818181818182,0.008350125351481032,negligible,False,False
非対称否定_サマリー,ex1,0.5,UCS,6,2.27992403805098,1.2365956868405024,2.2731627309905367,1.2272406545066423,0.32684735451110697,0.32473981212041647,0.9995656740556016,0.009506185733190304,0.9926022494246246,18.0,1.0,0.005488398892024002,negligible,False,False
非対称否定_サマリー,ex1,0.2,CS,6,6.653764173593639,2.1931951757974595,6.6484264694196975,2.1933005856288994,0.2805570412929063,0.27740854919847613,0.9992199040201939,0.004215289527311959,0.9967196016943438,20.0,0.8181818181818182,0.00243369854330577,negligible,False,False
非対称否定_サマリー,ex1,0.2,UCS,6,5.804289040538585,0.8021191632105881,5.7756465288883625,0.8039462569779734,0.5381859033509686,0.5821793447993238,0.9901792237594459,0.06177862085644883,0.951956456381695,21.0,0.6991341991341992,0.03566790338163456,negligible,False,False
非対称否定_サマリー,ex1,0.1,CS,6,10.518090383369794,2.7553163561134717,10.509410357547054,2.7567987452336284,0.7089896697695466,0.7151283900243173,0.9957974591664661,0.005454982312922064,0.9957548644542972,19.0,0.9372294372294373,0.0031494355067902004,negligible,False,False
非対称否定_サマリー,ex1,0.1,UCS,6,9.573565927831929,1.1059701388562282,9.5480501255148,1.0653916326506578,0.05389303501695094,0.05453466245974157,0.7306484522202281,0.040699759266725304,0.9683363805074988,19.0,0.9372294372294373,0.023498016968596817,negligible,False,False
対称否定_サマリー,ex1,1.0,CS,6,1.6677037480346233,1.5442677084285246,1.2921752767586845,2.0867526350978127,0.1116706480113343,0.7158437338192762,0.6477327292034532,0.35433260885956125,0.7304475427136978,19.0,0.9372294372294373,0.20457402710773004,small,False,False
対称否定_サマリー,ex1,1.0,UCS,6,1.777637350682827,1.8012600005618247,1.5970005319506724,2.031068150912795,0.22130502795661688,0.7314471741937839,0.8252373881488319,0.1629876786375249,0.8737748115069921,19.0,0.9372294372294373,0.09410098013596721,negligible,False,False
対称否定_サマリー,ex1,0.7,CS,6,2.159568681888157,1.2470407921019637,1.5490857614293005,2.1214571420631585,0.8751605253354604,0.862515207458654,0.30682894423401297,0.6076692845794187,0.5569538731764162,20.0,0.8181818181818182,0.35083802503019473,small,False,False
対称否定_サマリー,ex1,0.7,UCS,6,1.8562326915343708,1.6832680566883207,1.5716467691575795,2.1112304311135115,0.16263499296613865,0.7271222993563764,0.711769230190519,0.2581694576756474,0.8015116954853425,17.0,0.9372294372294373,0.1490542058855747,negligible,False,False
