sample_number,対称否定_オンライン,対称否定_サマリー,非対称否定_オンライン,非対称否定_サマリー
1,52.22716666666667,62.44025,36.84125,53.50691666666666
2,28.760416666666668,40.04866666666667,38.446416666666664,45.36391666666666
3,0.53925,0.0,13.916666666666666,6.295166666666667
4,55.208333333333336,70.5,41.581916666666665,65.62891666666667
5,40.101416666666665,54.58891666666667,30.489083333333337,55.435583333333334
6,19.4385,17.736083333333333,28.836083333333335,30.416666666666668
