CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
0.5,0.5,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.148,-0.348,-0.495,-0.101,-0.495
0.5,0.5,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.178,0.76,0.442,0.059,0.442
0.5,0.5,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.253,0.794,0.147,-0.105,0.147
0.5,0.5,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.123,0.406,0.655,0.352,0.655
0.4,0.4,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.805,-0.227,0.548,0.612,0.548
0.4,0.4,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.703,0.619,0.164,-0.264,0.164
0.4,0.4,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.281,0.848,0.285,0.186,0.285
0.4,0.4,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.515,0.817,0.174,-0.014,0.174
0.4,0.4,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.23,-0.421,-0.495,-0.101,-0.495
0.4,0.4,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.461,0.789,0.442,0.059,0.442
0.4,0.4,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.596,0.764,0.147,-0.105,0.147
0.4,0.4,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.05,0.499,0.655,0.352,0.655
0.3,0.3,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.917,0.005,0.548,0.612,0.548
0.3,0.3,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.832,0.547,0.164,-0.264,0.164
0.3,0.3,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.503,0.776,0.285,0.186,0.285
0.3,0.3,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.728,0.721,0.174,-0.014,0.174
0.3,0.3,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.267,-0.523,-0.495,-0.101,-0.495
0.3,0.3,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.627,0.802,0.442,0.059,0.442
0.3,0.3,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.788,0.68,0.147,-0.105,0.147
0.3,0.3,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.009,0.617,0.655,0.352,0.655
0.2,0.2,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.944,0.258,0.548,0.612,0.548
0.2,0.2,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.846,0.42,0.164,-0.264,0.164
0.2,0.2,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.612,0.588,0.285,0.186,0.285
0.2,0.2,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.815,0.5,0.174,-0.014,0.174
0.2,0.2,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.238,-0.542,-0.495,-0.101,-0.495
0.2,0.2,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.663,0.684,0.442,0.059,0.442
0.2,0.2,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.853,0.458,0.147,-0.105,0.147
0.2,0.2,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,-0.008,0.694,0.655,0.352,0.655
0.1,0.1,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.949,0.476,0.548,0.612,0.548
0.1,0.1,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.806,0.238,0.164,-0.264,0.164
0.1,0.1,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.624,0.387,0.285,0.186,0.285
0.1,0.1,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.812,0.282,0.174,-0.014,0.174
