CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
0.3,0.3,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.513,0.779,0.285,0.186,0.285
0.3,0.3,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.736,0.73,0.174,-0.014,0.174
0.3,0.3,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.255,-0.516,-0.495,-0.101,-0.495
0.3,0.3,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.621,0.793,0.442,0.059,0.442
0.3,0.3,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.791,0.676,0.147,-0.105,0.147
0.3,0.3,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.005,0.616,0.655,0.352,0.655
0.2,0.2,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.943,0.276,0.548,0.612,0.548
0.2,0.2,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.847,0.41,0.164,-0.264,0.164
0.2,0.2,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.607,0.594,0.285,0.186,0.285
0.2,0.2,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.812,0.512,0.174,-0.014,0.174
0.2,0.2,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.239,-0.55,-0.495,-0.101,-0.495
0.2,0.2,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.666,0.676,0.442,0.059,0.442
0.2,0.2,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.855,0.443,0.147,-0.105,0.147
0.2,0.2,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,-0.006,0.693,0.655,0.352,0.655
0.1,0.1,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.951,0.468,0.548,0.612,0.548
0.1,0.1,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.802,0.249,0.164,-0.264,0.164
0.1,0.1,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.62,0.407,0.285,0.186,0.285
0.1,0.1,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.809,0.301,0.174,-0.014,0.174
0.1,0.1,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.178,-0.531,-0.495,-0.101,-0.495
0.1,0.1,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.622,0.541,0.442,0.059,0.442
0.1,0.1,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.841,0.255,0.147,-0.105,0.147
0.1,0.1,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.028,0.677,0.655,0.352,0.655
0.01,0.01,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.957,0.554,0.548,0.612,0.548
0.01,0.01,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.625,0.157,0.164,-0.264,0.164
0.01,0.01,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.469,0.284,0.285,0.186,0.285
0.01,0.01,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.65,0.168,0.174,-0.014,0.174
0.01,0.01,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.003,-0.487,-0.495,-0.101,-0.495
0.01,0.01,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.4,0.433,0.442,0.059,0.442
0.01,0.01,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.677,0.151,0.147,-0.105,0.147
0.01,0.01,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.206,0.654,0.655,0.352,0.655
