CS_threshold,UCS_threshold,実験タイプ,条件,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
1.0,1.0,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,0.6,0.7714285714285715,0.29277002188455997,-0.14712247158412492,0.29277002188455997
1.0,1.0,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.942857142857143,-0.942857142857143,0.09759000729485333,0.029424494316824982,0.09759000729485333
1.0,1.0,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,0.8857142857142858,0.942857142857143,0.4879500364742666,0.058848988633649964,0.4879500364742666
1.0,1.0,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8857142857142858,-0.942857142857143,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.9,0.9,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,0.3714285714285715,0.7714285714285715,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.9,0.9,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.942857142857143,-0.942857142857143,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.9,0.9,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,0.7714285714285715,0.942857142857143,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.9,0.9,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8857142857142858,-0.942857142857143,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.8,0.8,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,0.2571428571428572,0.7714285714285715,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.8,0.8,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.942857142857143,-0.8857142857142858,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.8,0.8,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,0.6,0.942857142857143,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.8,0.8,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8285714285714287,-0.8857142857142858,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.7,0.7,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,0.08571428571428573,0.7714285714285715,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.7,0.7,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.8857142857142858,-0.8285714285714287,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.7,0.7,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,0.3714285714285715,0.942857142857143,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.7,0.7,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8285714285714287,-0.8285714285714287,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.6,0.6,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,0.08571428571428573,0.6,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.6,0.6,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.8857142857142858,-0.8857142857142858,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.6,0.6,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,0.3714285714285715,0.8857142857142858,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.6,0.6,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8285714285714287,-0.8285714285714287,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.5,0.5,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,-0.3142857142857143,0.6,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.5,0.5,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.8857142857142858,-0.8857142857142858,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.5,0.5,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,-0.14285714285714288,0.8857142857142858,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.5,0.5,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8285714285714287,-0.8285714285714287,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.4,0.4,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,-0.6,0.6,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.4,0.4,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.8857142857142858,-0.8857142857142858,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.4,0.4,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,-0.4285714285714286,0.8857142857142858,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.4,0.4,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8285714285714287,-0.8285714285714287,0.29277002188455997,0.14712247158412492,0.29277002188455997
0.3,0.3,オンライン,非対称否定,216,2.2777777777777777,34.004629629629626,-0.6377481392176932,0.6957252427829381,0.7714285714285715,-0.5428571428571429,0.6571428571428573,0.29277002188455997,-0.14712247158412492,0.29277002188455997
0.3,0.3,オンライン,対称否定,228,2.4054054054054053,32.671052631578945,-0.9276336570439174,0.9856107606091624,0.942857142857143,-0.8857142857142858,-0.7142857142857143,0.09759000729485333,0.029424494316824982,0.09759000729485333
0.3,0.3,サマリー,非対称否定,234,2.3684210526315788,43.957264957264954,-0.6957252427829381,0.898645105261295,0.942857142857143,-0.3714285714285715,0.942857142857143,0.4879500364742666,0.058848988633649964,0.4879500364742666
0.3,0.3,サマリー,対称否定,186,2.032258064516129,42.89247311827957,-0.8696565534786727,0.9856107606091624,1.0,-0.8285714285714287,-0.6571428571428573,0.29277002188455997,0.14712247158412492,0.29277002188455997
