CS_threshold,UCS_threshold,実験タイプ,条件,ストーリー,グループ,n,CRT_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
0.3,0.3,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,-0.689,0.751,0.166,0.04,0.166
0.3,0.3,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,-0.878,0.367,-0.012,-0.386,-0.012
0.3,0.3,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,-0.902,0.65,-0.016,-0.185,-0.016
0.3,0.3,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,-0.737,0.65,0.123,-0.059,0.123
0.3,0.3,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,-0.416,0.868,0.547,0.269,0.547
0.3,0.3,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,-0.547,0.822,0.504,0.134,0.504
0.3,0.3,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,-0.14,0.821,0.745,0.745,0.745
0.3,0.3,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,-0.855,0.527,0.175,-0.278,0.175
0.3,0.3,サマリー,対称否定,12,全体,19,2.158,-0.959,0.947,0.989,-0.688,0.745,0.186,0.044,0.186
0.3,0.3,オンライン,非対称否定,1,全体,22,2.182,-0.14,0.29,0.092,0.061,0.353,0.078,0.351,0.078
0.3,0.3,オンライン,非対称否定,2,全体,19,2.105,0.367,-0.221,-0.189,0.687,0.209,0.497,0.822,0.497
0.3,0.3,オンライン,非対称否定,3,全体,20,2.158,-0.943,0.868,0.888,-0.825,0.523,-0.093,-0.195,-0.093
0.3,0.3,オンライン,非対称否定,4,全体,18,2.412,-0.771,0.628,0.797,-0.725,0.496,0.171,-0.25,0.171
0.3,0.3,オンライン,非対称否定,5,全体,22,2.0,-0.838,0.782,0.917,-0.63,0.646,0.259,-0.021,0.259
0.3,0.3,オンライン,非対称否定,6,全体,17,2.125,0.225,-0.049,0.001,0.514,0.595,0.889,0.715,0.889
0.3,0.3,オンライン,非対称否定,7,全体,18,2.333,-0.165,0.037,0.309,-0.225,0.154,0.332,-0.149,0.332
0.3,0.3,オンライン,非対称否定,8,全体,18,2.294,-0.094,0.118,0.232,0.084,0.304,0.354,0.187,0.354
0.3,0.3,オンライン,非対称否定,9,全体,18,2.167,-0.827,0.628,0.753,0.921,0.914,-0.086,-0.457,-0.086
0.3,0.3,オンライン,非対称否定,10,全体,20,2.211,-0.534,0.475,0.763,0.798,0.965,0.599,-0.009,0.599
0.3,0.3,オンライン,非対称否定,11,全体,25,2.583,-0.644,0.407,0.547,-0.783,0.045,-0.272,-0.609,-0.272
0.3,0.3,オンライン,非対称否定,12,全体,17,2.235,-0.46,0.558,0.322,0.479,0.846,-0.526,0.011,-0.526
0.3,0.3,オンライン,対称否定,1,全体,19,2.222,-0.758,0.545,0.781,-0.812,0.453,0.219,-0.371,0.219
0.3,0.3,オンライン,対称否定,2,全体,18,2.588,-0.76,0.755,0.846,-0.443,0.801,0.621,0.411,0.621
0.3,0.3,オンライン,対称否定,3,全体,18,2.444,-0.572,0.759,0.714,-0.082,0.84,0.453,0.572,0.453
0.3,0.3,オンライン,対称否定,4,全体,13,2.385,-0.95,0.836,0.97,-0.83,0.619,0.153,-0.186,0.153
0.3,0.3,オンライン,対称否定,5,全体,18,2.118,-0.877,0.857,0.833,0.247,0.586,-0.174,-0.109,-0.174
0.3,0.3,オンライン,対称否定,6,全体,17,2.529,-0.844,0.8,0.929,-0.634,0.697,0.333,0.033,0.333
0.3,0.3,オンライン,対称否定,7,全体,17,2.438,-0.555,0.588,0.709,-0.241,0.673,0.462,0.246,0.462
0.3,0.3,オンライン,対称否定,8,全体,24,2.391,-0.647,0.719,0.67,-0.303,0.559,0.065,0.182,0.065
0.3,0.3,オンライン,対称否定,9,全体,26,2.32,-0.779,0.839,0.869,-0.465,0.837,0.424,0.288,0.424
0.3,0.3,オンライン,対称否定,10,全体,19,2.474,-0.707,0.752,0.799,-0.39,0.857,0.497,0.286,0.497
0.3,0.3,オンライン,対称否定,11,全体,22,2.227,-0.859,0.856,0.802,0.307,0.614,-0.196,-0.08,-0.196
0.3,0.3,オンライン,対称否定,12,全体,17,2.824,-0.678,0.714,0.831,-0.375,0.917,0.667,0.329,0.667
0.2,0.2,サマリー,非対称否定,1,全体,21,2.45,-0.231,0.244,0.296,0.318,0.711,0.482,0.196,0.482
0.2,0.2,サマリー,非対称否定,2,全体,17,2.529,-0.859,0.879,0.95,-0.622,0.613,0.322,0.167,0.322
0.2,0.2,サマリー,非対称否定,3,全体,17,2.125,-0.347,0.353,0.547,-0.11,0.624,0.592,0.239,0.592
0.2,0.2,サマリー,非対称否定,4,全体,18,2.353,-0.982,0.95,0.976,-0.839,0.412,0.068,-0.041,0.068
0.2,0.2,サマリー,非対称否定,5,全体,20,2.526,-0.365,0.499,0.589,-0.048,0.966,0.866,0.614,0.866
0.2,0.2,サマリー,非対称否定,6,全体,19,2.111,-0.632,0.585,0.813,-0.421,0.745,0.641,0.143,0.641
0.2,0.2,サマリー,非対称否定,7,全体,24,2.333,-0.875,0.859,0.957,-0.632,0.872,0.69,0.441,0.69
0.2,0.2,サマリー,非対称否定,8,全体,18,2.056,-0.515,0.407,0.678,-0.375,0.588,0.526,-0.031,0.526
0.2,0.2,サマリー,非対称否定,9,全体,23,2.318,-0.786,0.594,0.809,-0.786,0.232,0.058,-0.39,0.058
0.2,0.2,サマリー,非対称否定,10,全体,15,2.467,-0.85,0.757,0.891,-0.76,0.52,0.283,-0.093,0.283
0.2,0.2,サマリー,非対称否定,11,全体,19,2.368,-0.956,0.819,0.951,-0.894,0.345,0.057,-0.271,0.057
0.2,0.2,サマリー,非対称否定,12,全体,23,2.696,-0.92,0.824,0.955,0.331,0.72,0.178,-0.14,0.178
0.2,0.2,サマリー,対称否定,1,全体,11,2.273,-0.906,0.848,0.976,-0.753,0.31,-0.049,-0.03,-0.049
0.2,0.2,サマリー,対称否定,2,全体,16,2.062,-0.936,0.774,0.935,-0.902,0.345,0.095,-0.31,0.095
0.2,0.2,サマリー,対称否定,3,全体,14,1.571,-0.994,0.913,0.974,-0.903,0.349,0.008,-0.17,0.008
0.2,0.2,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,-0.794,0.51,0.166,0.04,0.166
0.2,0.2,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,-0.87,0.2,-0.012,-0.386,-0.012
0.2,0.2,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,-0.94,0.375,-0.016,-0.185,-0.016
0.2,0.2,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,-0.809,0.446,0.123,-0.059,0.123
0.2,0.2,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,-0.486,0.765,0.547,0.269,0.547
0.2,0.2,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,-0.657,0.71,0.504,0.134,0.504
0.2,0.2,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,-0.181,0.863,0.745,0.745,0.745
0.2,0.2,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,-0.861,0.377,0.175,-0.278,0.175
0.2,0.2,サマリー,対称否定,12,全体,19,2.158,-0.959,0.947,0.989,-0.784,0.52,0.186,0.044,0.186
0.2,0.2,オンライン,非対称否定,1,全体,22,2.182,-0.14,0.29,0.092,-0.05,0.247,0.078,0.351,0.078
0.2,0.2,オンライン,非対称否定,2,全体,19,2.105,0.367,-0.221,-0.189,0.633,0.377,0.497,0.822,0.497
0.2,0.2,オンライン,非対称否定,3,全体,20,2.158,-0.943,0.868,0.888,-0.895,0.271,-0.093,-0.195,-0.093
0.2,0.2,オンライン,非対称否定,4,全体,18,2.412,-0.771,0.628,0.797,-0.725,0.36,0.171,-0.25,0.171
0.2,0.2,オンライン,非対称否定,5,全体,22,2.0,-0.838,0.782,0.917,-0.681,0.507,0.259,-0.021,0.259
0.2,0.2,オンライン,非対称否定,6,全体,17,2.125,0.225,-0.049,0.001,0.489,0.8,0.889,0.715,0.889
0.2,0.2,オンライン,非対称否定,7,全体,18,2.333,-0.165,0.037,0.309,-0.131,0.262,0.332,-0.149,0.332
0.2,0.2,オンライン,非対称否定,8,全体,18,2.294,-0.094,0.118,0.232,0.078,0.344,0.354,0.187,0.354
0.2,0.2,オンライン,非対称否定,9,全体,18,2.167,-0.827,0.628,0.753,0.939,0.93,-0.086,-0.457,-0.086
0.2,0.2,オンライン,非対称否定,10,全体,20,2.211,-0.534,0.475,0.763,0.821,0.968,0.599,-0.009,0.599
0.2,0.2,オンライン,非対称否定,11,全体,25,2.583,-0.644,0.407,0.547,-0.764,-0.11,-0.272,-0.609,-0.272
0.2,0.2,オンライン,非対称否定,12,全体,17,2.235,-0.46,0.558,0.322,0.443,0.806,-0.526,0.011,-0.526
0.2,0.2,オンライン,対称否定,1,全体,19,2.222,-0.758,0.545,0.781,-0.776,0.353,0.219,-0.371,0.219
0.2,0.2,オンライン,対称否定,2,全体,18,2.588,-0.76,0.755,0.846,-0.541,0.765,0.621,0.411,0.621
0.2,0.2,オンライン,対称否定,3,全体,18,2.444,-0.572,0.759,0.714,-0.228,0.708,0.453,0.572,0.453
0.2,0.2,オンライン,対称否定,4,全体,13,2.385,-0.95,0.836,0.97,-0.866,0.44,0.153,-0.186,0.153
0.2,0.2,オンライン,対称否定,5,全体,18,2.118,-0.877,0.857,0.833,0.191,0.522,-0.174,-0.109,-0.174
0.2,0.2,オンライン,対称否定,6,全体,17,2.529,-0.844,0.8,0.929,-0.679,0.569,0.333,0.033,0.333
0.2,0.2,オンライン,対称否定,7,全体,17,2.438,-0.555,0.588,0.709,-0.292,0.616,0.462,0.246,0.462
0.2,0.2,オンライン,対称否定,8,全体,24,2.391,-0.647,0.719,0.67,-0.43,0.359,0.065,0.182,0.065
0.2,0.2,オンライン,対称否定,9,全体,26,2.32,-0.779,0.839,0.869,-0.551,0.699,0.424,0.288,0.424
0.2,0.2,オンライン,対称否定,10,全体,19,2.474,-0.707,0.752,0.799,-0.483,0.743,0.497,0.286,0.497
0.2,0.2,オンライン,対称否定,11,全体,22,2.227,-0.859,0.856,0.802,0.238,0.544,-0.196,-0.08,-0.196
0.2,0.2,オンライン,対称否定,12,全体,17,2.824,-0.678,0.714,0.831,-0.432,0.862,0.667,0.329,0.667
0.1,0.1,サマリー,非対称否定,1,全体,21,2.45,-0.231,0.244,0.296,0.353,0.673,0.482,0.196,0.482
0.1,0.1,サマリー,非対称否定,2,全体,17,2.529,-0.859,0.879,0.95,-0.623,0.434,0.322,0.167,0.322
0.1,0.1,サマリー,非対称否定,3,全体,17,2.125,-0.347,0.353,0.547,-0.067,0.603,0.592,0.239,0.592
0.1,0.1,サマリー,非対称否定,4,全体,18,2.353,-0.982,0.95,0.976,-0.851,0.188,0.068,-0.041,0.068
0.1,0.1,サマリー,非対称否定,5,全体,20,2.526,-0.365,0.499,0.589,-0.013,0.919,0.866,0.614,0.866
0.1,0.1,サマリー,非対称否定,6,全体,19,2.111,-0.632,0.585,0.813,-0.358,0.705,0.641,0.143,0.641
0.1,0.1,サマリー,非対称否定,7,全体,24,2.333,-0.875,0.859,0.957,-0.607,0.764,0.69,0.441,0.69
0.1,0.1,サマリー,非対称否定,8,全体,18,2.056,-0.515,0.407,0.678,-0.298,0.55,0.526,-0.031,0.526
0.1,0.1,サマリー,非対称否定,9,全体,23,2.318,-0.786,0.594,0.809,-0.726,0.092,0.058,-0.39,0.058
0.1,0.1,サマリー,非対称否定,10,全体,15,2.467,-0.85,0.757,0.891,-0.719,0.364,0.283,-0.093,0.283
0.1,0.1,サマリー,非対称否定,11,全体,19,2.368,-0.956,0.819,0.951,-0.872,0.145,0.057,-0.271,0.057
0.1,0.1,サマリー,非対称否定,12,全体,23,2.696,-0.92,0.824,0.955,0.378,0.69,0.178,-0.14,0.178
0.1,0.1,サマリー,対称否定,1,全体,11,2.273,-0.906,0.848,0.976,-0.76,0.078,-0.049,-0.03,-0.049
0.1,0.1,サマリー,対称否定,2,全体,16,2.062,-0.936,0.774,0.935,-0.862,0.194,0.095,-0.31,0.095
0.1,0.1,サマリー,対称否定,3,全体,14,1.571,-0.994,0.913,0.974,-0.9,0.093,0.008,-0.17,0.008
0.1,0.1,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,-0.806,0.308,0.166,0.04,0.166
0.1,0.1,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,-0.823,0.045,-0.012,-0.386,-0.012
0.1,0.1,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,-0.929,0.116,-0.016,-0.185,-0.016
0.1,0.1,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,-0.807,0.234,0.123,-0.059,0.123
0.1,0.1,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,-0.465,0.63,0.547,0.269,0.547
0.1,0.1,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,-0.67,0.57,0.504,0.134,0.504
0.1,0.1,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,-0.157,0.812,0.745,0.745,0.745
0.1,0.1,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,-0.811,0.262,0.175,-0.278,0.175
0.1,0.1,サマリー,対称否定,12,全体,19,2.158,-0.959,0.947,0.989,-0.787,0.311,0.186,0.044,0.186
0.1,0.1,オンライン,非対称否定,1,全体,22,2.182,-0.14,0.29,0.092,-0.102,0.122,0.078,0.351,0.078
0.1,0.1,オンライン,非対称否定,2,全体,19,2.105,0.367,-0.221,-0.189,0.609,0.47,0.497,0.822,0.497
0.1,0.1,オンライン,非対称否定,3,全体,20,2.158,-0.943,0.868,0.888,-0.901,0.023,-0.093,-0.195,-0.093
0.1,0.1,オンライン,非対称否定,4,全体,18,2.412,-0.771,0.628,0.797,-0.684,0.232,0.171,-0.25,0.171
0.1,0.1,オンライン,非対称否定,5,全体,22,2.0,-0.838,0.782,0.917,-0.654,0.363,0.259,-0.021,0.259
0.1,0.1,オンライン,非対称否定,6,全体,17,2.125,0.225,-0.049,0.001,0.515,0.876,0.889,0.715,0.889
0.1,0.1,オンライン,非対称否定,7,全体,18,2.333,-0.165,0.037,0.309,-0.043,0.301,0.332,-0.149,0.332
0.1,0.1,オンライン,非対称否定,8,全体,18,2.294,-0.094,0.118,0.232,0.094,0.339,0.354,0.187,0.354
0.1,0.1,オンライン,非対称否定,9,全体,18,2.167,-0.827,0.628,0.753,0.937,0.931,-0.086,-0.457,-0.086
0.1,0.1,オンライン,非対称否定,10,全体,20,2.211,-0.534,0.475,0.763,0.858,0.966,0.599,-0.009,0.599
0.1,0.1,オンライン,非対称否定,11,全体,25,2.583,-0.644,0.407,0.547,-0.736,-0.23,-0.272,-0.609,-0.272
0.1,0.1,オンライン,非対称否定,12,全体,17,2.235,-0.46,0.558,0.322,0.481,0.781,-0.526,0.011,-0.526
0.1,0.1,オンライン,対称否定,1,全体,19,2.222,-0.758,0.545,0.781,-0.7,0.255,0.219,-0.371,0.219
0.1,0.1,オンライン,対称否定,2,全体,18,2.588,-0.76,0.755,0.846,-0.518,0.695,0.621,0.411,0.621
0.1,0.1,オンライン,対称否定,3,全体,18,2.444,-0.572,0.759,0.714,-0.261,0.562,0.453,0.572,0.453
0.1,0.1,オンライン,対称否定,4,全体,13,2.385,-0.95,0.836,0.97,-0.837,0.259,0.153,-0.186,0.153
0.1,0.1,オンライン,対称否定,5,全体,18,2.118,-0.877,0.857,0.833,0.213,0.486,-0.174,-0.109,-0.174
0.1,0.1,オンライン,対称否定,6,全体,17,2.529,-0.844,0.8,0.929,-0.652,0.428,0.333,0.033,0.333
0.1,0.1,オンライン,対称否定,7,全体,17,2.438,-0.555,0.588,0.709,-0.295,0.531,0.462,0.246,0.462
0.1,0.1,オンライン,対称否定,8,全体,24,2.391,-0.647,0.719,0.67,-0.481,0.169,0.065,0.182,0.065
0.1,0.1,オンライン,対称否定,9,全体,26,2.32,-0.779,0.839,0.869,-0.544,0.544,0.424,0.288,0.424
0.1,0.1,オンライン,対称否定,10,全体,19,2.474,-0.707,0.752,0.799,-0.474,0.579,0.497,0.286,0.497
0.1,0.1,オンライン,対称否定,11,全体,22,2.227,-0.859,0.856,0.802,0.244,0.499,-0.196,-0.08,-0.196
0.1,0.1,オンライン,対称否定,12,全体,17,2.824,-0.678,0.714,0.831,-0.399,0.741,0.667,0.329,0.667
0.01,0.01,サマリー,非対称否定,1,全体,21,2.45,-0.231,0.244,0.296,0.488,0.655,0.482,0.196,0.482
0.01,0.01,サマリー,非対称否定,2,全体,17,2.529,-0.859,0.879,0.95,-0.449,0.328,0.322,0.167,0.322
0.01,0.01,サマリー,非対称否定,3,全体,17,2.125,-0.347,0.353,0.547,0.114,0.594,0.592,0.239,0.592
0.01,0.01,サマリー,非対称否定,4,全体,18,2.353,-0.982,0.95,0.976,-0.716,0.069,0.068,-0.041,0.068
0.01,0.01,サマリー,非対称否定,5,全体,20,2.526,-0.365,0.499,0.589,0.23,0.868,0.866,0.614,0.866
0.01,0.01,サマリー,非対称否定,6,全体,19,2.111,-0.632,0.585,0.813,-0.119,0.632,0.641,0.143,0.641
0.01,0.01,サマリー,非対称否定,7,全体,24,2.333,-0.875,0.859,0.957,-0.262,0.694,0.69,0.441,0.69
0.01,0.01,サマリー,非対称否定,8,全体,18,2.056,-0.515,0.407,0.678,-0.088,0.51,0.526,-0.031,0.526
0.01,0.01,サマリー,非対称否定,9,全体,23,2.318,-0.786,0.594,0.809,-0.585,0.048,0.058,-0.39,0.058
0.01,0.01,サマリー,非対称否定,10,全体,15,2.467,-0.85,0.757,0.891,-0.521,0.277,0.283,-0.093,0.283
0.01,0.01,サマリー,非対称否定,11,全体,19,2.368,-0.956,0.819,0.951,-0.72,0.057,0.057,-0.271,0.057
0.01,0.01,サマリー,非対称否定,12,全体,23,2.696,-0.92,0.824,0.955,0.524,0.677,0.178,-0.14,0.178
0.01,0.01,サマリー,対称否定,1,全体,11,2.273,-0.906,0.848,0.976,-0.635,-0.041,-0.049,-0.03,-0.049
0.01,0.01,サマリー,対称否定,2,全体,16,2.062,-0.936,0.774,0.935,-0.689,0.09,0.095,-0.31,0.095
0.01,0.01,サマリー,対称否定,3,全体,14,1.571,-0.994,0.913,0.974,-0.767,0.009,0.008,-0.17,0.008
0.01,0.01,サマリー,対称否定,4,全体,21,2.048,-0.967,0.956,0.985,-0.648,0.177,0.166,0.04,0.166
0.01,0.01,サマリー,対称否定,5,全体,16,1.938,-0.861,0.682,0.848,-0.688,-0.017,-0.012,-0.386,-0.012
0.01,0.01,サマリー,対称否定,6,全体,15,2.067,-0.978,0.93,0.951,-0.816,-0.006,-0.016,-0.185,-0.016
0.01,0.01,サマリー,対称否定,7,全体,22,2.182,-0.956,0.907,0.981,-0.658,0.12,0.123,-0.059,0.123
0.01,0.01,サマリー,対称否定,8,全体,18,1.889,-0.754,0.783,0.906,-0.246,0.549,0.547,0.269,0.547
0.01,0.01,サマリー,対称否定,9,全体,16,2.438,-0.923,0.956,0.974,-0.445,0.506,0.504,0.134,0.504
0.01,0.01,サマリー,対称否定,10,全体,11,2.0,-0.461,0.52,0.66,0.047,0.743,0.745,0.745,0.745
0.01,0.01,サマリー,対称否定,11,全体,13,2.077,-0.902,0.741,0.92,-0.625,0.172,0.175,-0.278,0.175
0.01,0.01,サマリー,対称否定,12,全体,19,2.158,-0.959,0.947,0.989,-0.631,0.191,0.186,0.044,0.186
0.01,0.01,オンライン,非対称否定,1,全体,22,2.182,-0.14,0.29,0.092,-0.09,0.085,0.078,0.351,0.078
0.01,0.01,オンライン,非対称否定,2,全体,19,2.105,0.367,-0.221,-0.189,0.65,0.509,0.497,0.822,0.497
0.01,0.01,オンライン,非対称否定,3,全体,20,2.158,-0.943,0.868,0.888,-0.803,-0.094,-0.093,-0.195,-0.093
0.01,0.01,オンライン,非対称否定,4,全体,18,2.412,-0.771,0.628,0.797,-0.534,0.155,0.171,-0.25,0.171
0.01,0.01,オンライン,非対称否定,5,全体,22,2.0,-0.838,0.782,0.917,-0.481,0.263,0.259,-0.021,0.259
0.01,0.01,オンライン,非対称否定,6,全体,17,2.125,0.225,-0.049,0.001,0.686,0.894,0.889,0.715,0.889
0.01,0.01,オンライン,非対称否定,7,全体,18,2.333,-0.165,0.037,0.309,0.079,0.321,0.332,-0.149,0.332
0.01,0.01,オンライン,非対称否定,8,全体,18,2.294,-0.094,0.118,0.232,0.18,0.347,0.354,0.187,0.354
0.01,0.01,オンライン,非対称否定,9,全体,18,2.167,-0.827,0.628,0.753,0.935,0.932,-0.086,-0.457,-0.086
0.01,0.01,オンライン,非対称否定,10,全体,20,2.211,-0.534,0.475,0.763,0.921,0.965,0.599,-0.009,0.599
0.01,0.01,オンライン,非対称否定,11,全体,25,2.583,-0.644,0.407,0.547,-0.687,-0.276,-0.272,-0.609,-0.272
0.01,0.01,オンライン,非対称否定,12,全体,17,2.235,-0.46,0.558,0.322,0.619,0.771,-0.526,0.011,-0.526
0.01,0.01,オンライン,対称否定,1,全体,19,2.222,-0.758,0.545,0.781,-0.507,0.21,0.219,-0.371,0.219
0.01,0.01,オンライン,対称否定,2,全体,18,2.588,-0.76,0.755,0.846,-0.2,0.63,0.621,0.411,0.621
0.01,0.01,オンライン,対称否定,3,全体,18,2.444,-0.572,0.759,0.714,-0.121,0.469,0.453,0.572,0.453
0.01,0.01,オンライン,対称否定,4,全体,13,2.385,-0.95,0.836,0.97,-0.661,0.155,0.153,-0.186,0.153
0.01,0.01,オンライン,対称否定,5,全体,18,2.118,-0.877,0.857,0.833,0.334,0.475,-0.174,-0.109,-0.174
0.01,0.01,オンライン,対称否定,6,全体,17,2.529,-0.844,0.8,0.929,-0.455,0.335,0.333,0.033,0.333
0.01,0.01,オンライン,対称否定,7,全体,17,2.438,-0.555,0.588,0.709,-0.118,0.463,0.462,0.246,0.462
0.01,0.01,オンライン,対称否定,8,全体,24,2.391,-0.647,0.719,0.67,-0.418,0.075,0.065,0.182,0.065
0.01,0.01,オンライン,対称否定,9,全体,26,2.32,-0.779,0.839,0.869,-0.355,0.429,0.424,0.288,0.424
0.01,0.01,オンライン,対称否定,10,全体,19,2.474,-0.707,0.752,0.799,-0.271,0.502,0.497,0.286,0.497
0.01,0.01,オンライン,対称否定,11,全体,22,2.227,-0.859,0.856,0.802,0.358,0.49,-0.196,-0.08,-0.196
0.01,0.01,オンライン,対称否定,12,全体,17,2.824,-0.678,0.714,0.831,-0.146,0.666,0.667,0.329,0.667
