stimulus,a,b,c,d,CS_generic,UCS_generic,CS_minus_UCS
1,6,6,0,12,3.055011851131115,3.6068119183040985,-0.5518000671729837
2,6,3,3,6,0.272287887818839,0.8280793797327557,-0.5557914919139166
3,6,0,6,0,-1.326259710589403,0.0246469472718261,-1.350906657861229
4,7,6,0,13,3.947828394491538,4.429793382664822,-0.4819649881732837
5,7,3,3,7,0.7998264248384348,1.3845826346270718,-0.584756209788637
6,7,0,6,1,-0.7678602702834699,0.42229790456119604,-1.190158174844666
stimuli_test,1,1,1,1,-0.18149150451509785,-0.18197588376722024,0.00048437925212238553
