CS_threshold,UCS_threshold,実験タイプ,条件,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.4,0.4,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,-0.59,-0.6,0.781,0.771,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.4,0.4,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,-0.399,-0.429,0.954,0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.916,0.829,0.982,0.943,-0.303,-0.371,-0.59,-0.429,,,,
0.4,0.4,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,-0.465,-0.429,0.902,0.943,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
0.4,0.4,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,-0.547,-0.371,0.945,1,0.225,0.293,-0.055,0.147,0.225,0.293,0.904,0.943,0.947,1,-0.479,-0.429,-0.718,-0.486,,,,
0.3,0.3,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,-0.69,-0.543,0.786,0.771,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.3,0.3,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,-0.634,-0.543,0.952,0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.923,0.829,0.985,0.943,-0.071,-0.371,-0.537,-0.429,,,,
0.3,0.3,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,-0.633,-0.371,0.899,0.943,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
0.3,0.3,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,-0.747,-0.429,0.949,1,0.225,0.293,-0.055,0.147,0.225,0.293,0.934,0.943,0.944,1,-0.207,-0.429,-0.671,-0.486,,,,
0.2,0.2,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,-0.693,-0.543,0.789,0.771,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.2,0.2,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,-0.733,-0.771,0.959,0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.945,0.829,0.987,0.943,0.005,-0.371,-0.402,-0.543,,,,
