stimulus,a,b,c,d,CS_generic,UCS_generic,CS_minus_UCS
1,6,6,0,12,1.5146539132263737,4.3483864949639575,-2.833732581737584
2,6,3,3,6,-3.06318940492279,1.442618415115895,-4.505807820038685
3,6,0,6,0,-8.548511387316044,1.6828781976216085,-10.231389584937652
4,7,6,0,13,1.695152258532012,5.37108513704753,-3.6759328785155176
5,7,3,3,7,-3.426833206241616,2.2808783349585724,-5.707711541200188
6,7,0,6,1,-9.197538696632359,2.5336467761121213,-11.73118547274448
stimuli_test,1,1,1,1,-0.5106862672038379,-0.46867482414929995,-0.04201144305453797
